CAP	Kind of gun
CAREERED	Rushed headlong
APOLLOXI	Mission commemorated on the back of the Eisenhower dollar coin
PUBLICTV	Subject of annual Congressional budget debate
MUONS	Catalyzing subatomic particles
MEUSE	___-Argonne offensive of W.W. I
UNBAR	Open, in a way
OTB	Gambling inits.
NAE	Highlands negative
SLRS	Camera types, for short
CHAR	Singe
CMON	"Shake a leg!"
HASAGO	Takes one's turn
AGETEN	Threshold for the Vienna Boys' Choir
RESEED	Switch in the tournament schedule, maybe
APU	Father of octuplets on "The Simpsons"
MENTALIMAGE	Picture to carry around?
MRIS	Scans ordered by M.D.'s
INE	Suffix with glass
ROB	Knock over
RUBBERNOSES	Clowns' wear
ELL	Pipe fitting
ISA	O.T. book
SENATE	It has many pages
ELI	Skull and Bones member, e.g.
SERFS	Receivers of manumission
FATCELL	Adipocyte
SITAR	Fretted instrument
GEE	Dobbin's "right"
ROCA	Cape ___, Portugal (continental Europe's westernmost point)
ARIDE	Words with thumb or bum
AIR	Pocket filler
REPO	Car making a return trip?
BOND	Link
BYTES	Storage units
EXTRABATTERY	Flashlight backup
ADE	Sweet drink
BENT	Like staples
ADVIL	Tylenol alternative
RIM	Canyon area
DIVIDEDCAPITALS	Title for this puzzle
ALTEREGO	Holmes to Conan Doyle, e.g.
LEAVENED	Like soda crackers
STRADDLE	Not choose one side or the other
DENVEROMELET	Brunch option
INRE	About
ISITME	Lead-in to a questionable opinion
NINEAM	Two bells in the forenoon watch
RECAST	Freshly worded
TIL	"___ I Can Make It on My Own" (Tammy Wynette #1 hit)
STAR	Grade schooler's reward
SIE	German pronoun
LLAMA	Animal that can be ridden
ALGAE	Pool problem
MEESE	Reagan attorney general
AIRE	Leeds's river
EVA	Soprano Marton
INCASH	Not tied up, as funds
AMCS	Gremlins and others, for short
SMA	Little, in Leith
HARE	"A Wild ___" (cartoon in which Bugs Bunny first says "What's up, Doc?")
LEI	Ring of plumerias
RED	Like Duroc hogs
TEAMMANAGER	Leader in sports
NAM	60's war zone
ACC	U. of Md. is in it
END	Put the kibosh on
MASCARACASE	Makeup carrier
GEL	Set
EMTS	CPR deliverers
EMCEE	Wedding reception party?
ODE	Emerson's "___ to Beauty"
