CHINTZ	Drapery material
CMD	Mil. authority
HAR	Laugh start
IDE	Suffix with cyan-
NEWHAVEN	City with the world's first telephone directory (1878)
TRUETO	Loyally following
ZANIES	Nuts
WOODLOT	Lumber supplier
WOVE	Had work looming?
ONE	Combined
OAR	Blade in sports
DTS	The shakes
LEIGH	"The Da Vinci Code" scholar Sir ___ Teabing
OATES	Novelist who wrote "The Gravedigger's Daughter"
TRYST	No-tell motel visit
CHEQUE	Item marked in pounds
CASERTA	Italy's Reggia di ___ (royal palace)
HUT	Pizza ___
EBRO	River that rises in Cantabria
QUEENMOTHER	Beloved figure in England
URSINE	Bearlike
ENSLER	Eve ___, "The Vagina Monologues" monologist
MADERA	City and county of central California
ONATEAR	Rushing
AUBURN	Hair color
DREWUNIVERSITY	School in Madison, N.J.
INS	Connections
STRESS	Cause of worry lines
HEINE	Poet whose last words were "Of course [God] will forgive me; that's his business"
GESTE	"Beau ___"
TOSIR	Quaint letter opener
OEIL	Coup d'___ (quick glance)
CDRATES	Bank postings
CHOMP	Eating sound
DUBAI	Persian Gulf emirate
REIGN	Cover many subjects?
FISHSTORY	Don't believe it
FABU	Extremely pleasing, in slang
INUSE	Occupied
SET	Word with smart or mind
YELLAT	Upbraid
NNE	Seward-to-Fairbanks dir.
HUEVOS	___ rancheros
SANE	Levelheaded
SEPTUM	Biological dividing wall
STEAMER	Raw bar offering
ATISSUE	Being debated
OBIE	Officer in "Alice's Restaurant"
DEBUTS	Launches
DORSAL	Kind of fin
SPILT	Dumped out
RIALTO	Classic theater name
RAE	Singer Corinne Bailey ___
MAGNUMOPUS	"The Divine Comedy," for Dante
UPI	Longtime news inits.
MASHED	Potato choice
PAAR	1950s-'70s TV host
ANKHS	Egyptian crosses
LITRE	Petrol purchase
RIAL	Yemeni money
ENTS	Tolkien creatures
PIN	It's often punched on a keypad
PART	Reader's goal
EZINE	Online reading
ZEROS	Nobodies
CASHIN	Redeem
COWPEA	Southern legume
MISSUS	Wife, informally
MEANIES	Scoundrels
SMEAR	Window washer's boo-boo
ELK	Fraternity member
HOTSEAT	Difficult situation
HOMELY	Unlikely to be Miss America
POSE	Sitting with one's hand on one's chin, e.g.
PALE	Ghostlike
OPEN	Big tournament
SPADECASINO	Card game played to 61
HAMMERTHROW	Track-and-field event
ENLAI	China's Zhou
RAGLAN	Loose overcoat
URLS	Google results
APPAREL	Duds
RETRIM	Condense again, as an article
ENO	Record producer who published the diary "A Year With Swollen Appendices"
SAMPLE	Appetite whetter
LDS	The Mormons, initially
LEANED	Favored one side or the other
BALSA	Kon-Tiki material
BAR	High jump need
AFTER	Certain photo caption
GEED	Turned right
MSS	What eds. read
MEDIA	Broadcasters, e.g.
SEERS	Predictors
SPREE	Brief indulgence
ENDIT	Get divorced
RARA	___ avis
REESE	"Malcolm in the Middle" boy
FELLASLEEP	Dropped off
ERAS	Cy Young candidates' stats
LEFTWING	Liberal
EERIER	More spooky
INAHOLE	Behind
INTRAY	Work site?
NBA	Larry O'Brien Championship Trophy org.
EDER	German river
ARCSINE	Trig angle
ARMORS	Safeguards
REUBEN	Deli order
BEAN	Salad morsel
SAFIRE	"On Language" columnist
SANCTA	Sacred places
ACETEN	Winning hand in blackjack
REA	Mens ___ (guilty mind)
MASONJARS	Pantry array
OLLAS	Stewpots
NIECE	Certain flower girl
JOADS	"The Grapes of Wrath" family
LACTASE	Enzyme in some yeasts
LGE	T-shirt size: Abbr.
MUSE	There's one for dance
ESTO	"___ perpetua" (Idaho's motto)
HELIO	Prefix with centric
AGNEW	Only U.S. vice president born in Maryland
ATON	Lots
OBISPO	San Luis ___
PAZ	Opposite of guerra
LEADDETECTIVES	Ones in charge of a case ... or a literal hint to the eight other longest answers in this puzzle
DES	Paris's Parc ___ Princes
DLI	Sixth-century year
ECO	Prefix with freak
VSO	Letters on a brandy bottle
EEL	Marine predator
SSA	Org. that has its benefits
RENTAL	Vacation arrangement
ACDELCO	Big name in auto parts
TENSES	French subjects?
SNOOZE	Alarm clock button
SESSION	Psychiatric visit
ANGOLA	Major diamond exporter
