ALABAMA	Creek Confederacy tribe
AMTOO	Childish comeback
LOHAN	"I Know Who Killed Me" actress, 2007
ALERT	Word often preceded by a color
BOAS	Givers of unfriendly hugs
ATF	Justice Dept. division
MORSECODE	A ham might use it
AVIATE	Focus on one's approach, say
GRISHAM	"The Appeal" novelist
GRADIENT	Inclination
RENAL	Kind of artery
INQ	Govt. probe
SAUERKRAUT	Frank request
HUEY	U.S. military chopper
ALEE	One way to turn a ship
MTNS	Chain links?: Abbr.
MOLOTOV	Two-time foreign minister of the U.S.S.R.
RENAULT	Clio maker
THEAFRICANQUEEN	Film with the line "By the authority vested in me by Kaiser William II, I pronounce you man and wife. Proceed with the execution"
CIADIRECTOR	George H. W. Bush, once
OARS	Equipment for strokes
SAIDA	___ lot (was telling)
EYES	Observing things
ONT	Home of Sault Ste. Marie: Abbr.
RETAILER	Recipient of a trade discount
RES	Apt., e.g.
ESO	Panamanian pronoun
SECEDE	Withdraw
SNEAKTHIEF	Lifter
SKIMP	Not be generous
IRES	Ticks off
MORE	Glutton's desire
PROD	Driving tool
ALONSO	King of Naples in "The Tempest"
AWNS	Beards
LOAM	The good earth?
ORZO	Pasta eaten with a spoon
INHORROR	One way to recoil
HYPERTEXT	Web connection means
WORE	Sported
DIRTY	Ill-gotten
INASNARE	Trapped
AERO	Prefix with marine
NAZARENE	Jesus, Mary or Joseph
REO	Franklin contemporary
PAUSED	Like some DVDs in DVD players
ANY	Word with longer or minute
SMOKE	Burning evidence
ACCENT	Evidence that one is an alien
COUPES	Body types
TOPSTORY	Opening for an anchor
PACER	Apparently anxious person
FAO	Toy store inits.
FAITH	Hill in Nashville
ARDEN	"As You Like It" setting
OPEDS	Subjective pieces
AMAH	Asian au pair
AMFM	Switch letters
MALI	Where Bambara is spoken
AGES	All ___ (words on a game box)
ANOUT	Have ___ (not be trapped)
AARP	U.S. org. with over 39 million members
ARLO	One of a comic-strip married couple
MAGICCARPETRIDE	Fantastic flight
CCI	Third-century year
TAJ	Atlantic City hot spot, with "the"
FLEECER	Cheat
EXALTED	August
MISFIRE	Ignition problem
STJOHNS	Big East team with six N.I.T. basketball championships
