JADA	Actress ___ Pinkett Smith
JEFF	One of the acting Bridges
ABOO	Peek follower
DOOR	"Let's Make a Deal" choice
ALTEREGO	Doppelgänger
STATS	Sports page fill
SPLIT	Alley oops?
TALC	Soothing sprinkle
ADDS	Tosses in
TRI	Numerical prefix
SEALEVEL	It's affected by global warming
ASIF	Derisive response to "She thinks she's going to be homecoming queen"
ACROSS	Not this way
SHAK	Big section of Bartlett's: Abbr.
IAMA	"___ Strange Loop," 2007 Douglas Hofstadter book
FIST	Symbol of revolutionary power
EBOLA	Virus named for a river
ABNER	Capp lad
PADRE	Texas' South ___ Island
CHAI	Spicy tea
FOOTBALLDIAGRAMS	Where to see X's and O's
ASST	Staffer: Abbr.
GOTONE	Fisherman's jubilant cry
FORENSICS	"CSI" field
LOOKAT	See
REST	Balance
JETS	Meadowlands squad
JOKES	Routine material
IBERT	"Angélique" composer
INNER	Central
BUDGE	Move slightly
PROVOSTS	College bigwigs
PHONE	Ring
RAVED	Carried on
TITLE	Sir or madam
STEMS	Florist's waste
SNUG	Comfy-cozy
SEL	Season on the Seine?
SHAKEN	Like 007's martinis
SLITS	Squinter's eyes
ITS	"___ time"
SRS	Ones with rings: Abbr.
ENDOFALOVELETTER	Where to see X's and O's
FAULTY	Imperfect
ALLEYWAY	Shortcut in a chase scene, maybe
TERTIARY	Period of the Cenozoic Era
LEG	Journey segment
ALINES	Flaring garb
ELMS	Shade providers
RESULTED	Followed
SAILED	Breezed (through)
CURES	Medical breakthroughs
CINQ	V as in Versailles
UNCUT	Whole
ALES	Draft choices
LINT	Fluffy stuff
LISPS	Talks like Daffy
ACUITY	Sharpness
AHAB	Captain with a "regal overbearing dignity of some mighty woe"
CONE	Traffic marker
ULNA	Arm part
POINCIANA	Bing Crosby hit in which "your branches speak to me of love"
POLL	Survey
ODIE	Jon Arbuckle's pooch
ARIA	Met melody
NECK	Spoon
ASKS	Probes
HOLLYWOODSQUARES	Where to see X's and O's
OSU	Nebraska rival, for short
ANNE	Rice on a shelf
ASLIP	"There's many ___ 'twixt ..."
TRICK	Halloween option
BEAD	You might sweat it out
YULES	Year-end celebrations
YAKS	Tibetan herd
