STILL	Photo
SCIFI	Tales of ET's, e.g.
TAMER	Big top figure
INABADWAY	Not doing well at all
LOX	Bagel store offering
LEFTIN	Kept
MOTE	Speck
MACRO	Computer user's timesaver
OFTEN	Not just occasionally
TAO	Literally, "way"
ERR	Miss a cue, say
TATA	"Later"
TIMELY	Seasonable
ABACI	Crude counters
TEXAN	Denison denizen
AXING	Canner's job
CANOE	Pointed craft
AFAR	Out there
IBEX	Animal with twisted horns
IMAXFACTOR	One reason more people are going to the movies these days?
AIRY	Light
MAXI	Skirt style
FEB	The shortest of 12: Abbr.
TIRE	One may become bald
PECAN	Popular pie ingredient
PRATE	Go on and on
IRA	Part of a certain nest egg, briefly
IRONDARLING	Order to a homemaking spouse?
DELTA	Where the mouth is
ABIT	Some
DENY	Not accept
ENV	Post delivery: Abbr.
EBAY	Where you may do your bidding?
FAWN	Babe in the woods
FIT	In shape
ADO	Commotion
UNLIT	Like some candles
ULNAS	Skeleton components
NED	Hoops Hall-of-Famer Irish
SET	Workout segment
SMASHINTO	Ram
EAR	Hammer site
TNT	Blast source
IDAVIDLETTERMAN	Ask for proof of age for an ardent varsity athlete?
IQUIT	Fed-up person's cry
DANA	Plato of "Diff'rent Strokes"
RCA	Elvis's label
TOY	Sled, e.g.
QANDA	Back-and-forth, for short
CART	One may get pushed around
LUNA	Early Soviet space probe
LLAMAS	Some pack carriers
BRAS	Support group?
BRUT	English Leather alternative
RERUNS	You may have seen them before
ITALIASHIRE	English-style county near Roma?
IDAHO	Snake River locale
TATER	47-Down product
ABORT	End early
HYATT	Marriott alternative
IOTAS	Specks
HOP	Bygone school event
OCEAN	Limitless quantity
PERSE	Intrinsically
DABAT	Pat
YOUR	"___ move"
ICE	Swelling reducer
ATOM	Tiny building block
INATTURNER	Recently hired by the Superstation?
IDO	Rite answer?
NAP	Brief time out?
ROT	Become inedible
HERA	Mother of Hephaestus
DATA	Raw material?
NOTAS	Less
ORTS	Scraps
OPTS	Prefers, with "for"
STONE	Plum part
