CAPECOD	Cranberry center
COHERED	Was logically consistent
AVERAGED	Found the middle of?
PERSPIRED	Didn't stay dry
ERG	Tiny fraction of a British thermal unit
CURER	Tobacco farm employee
OSAGES	Some Siouans
DECOCTS	Boils down
STABS	Runs through
STAPLETON	"The Rose Tattoo" Tony winner, 1951
TORPEDONET	Naval defense
ARTES	Sevillian skills
BEERS	Drafts, say
SSNS	Some ID's
OVERUSES	Wears out
SETOUT	Leave
STORES	Inventories
SMILING	Apparently pleased
HERGRACE	Title for a duchess
MARTEN	Valuable fur
ERS	Settings for some TV dramas
EGOTRIPPERS	Narcissists
RIDE	Fair selection
RAP	Blame
RECOILLESS	Having very little kick
EGIS	Protection
SALESCLERK	One being counter-productive?
STUDIED	Not spontaneous
DERAT	Make more sanitary, in a way
TIMECARDS	They get punched
STENTON	Sir Frank ___, historian of Anglo-Saxon England
NEWREGIME	Result of a coup
DELIS	People often leave them with cuts
SONANTS	Voiced bits of speech
GONER	Toast, after "a"
REUNITER	Investigator who finds someone's birth mother, say
DEMOTIC	Vernacular
TOLD	"I ___ you!"
IRISES	Garden bouquet
CALLSTO	Summons
NEWEL	Handrail supporter
LESSONS	Schoolwork
SENORAS	Halves of Córdoba couples
SLIPON	Get into easily
TRUE	Legitimate
PICCALILLI	Relish
PASHA	Tom Courtenay's "Doctor Zhivago" role
ILSAS	Characters in "Casablanca" and "Judge Dredd"
IMONA	"___ roll!"
ENS	Two out of nine?
TALLANDSLIM	Like a string bean
TACT	Poise
GIS	Grunts
ASSERT	Postulate
ESPOSITO	Five-time Art Ross Trophy winner
SEG	Line part: Abbr.
CHARDS	Salad greens
STONEMEN	Chiselers
TASKS	To-do list
ONAGERS	Asses with dorsal stripes
