PSHAW	"Applesauce!"
PAP	Unchallenging reading material
SLO	___-mo
HORSEPLAY	Roughhousing
ANKH	Egyptian symbol of life
WEBAPP	Online program
PAPER	The pulp in pulp fiction
PAREE	City in a "Can-Can" song
AIR	Common inhalant
POE	Creator of the detective C. Auguste Dupin
ELL	Architectural addition
RIPKEN	Oriole who played in a record 2,632 straight games
IMMAD	"That ticked me off!"
ISOPOD	Small crustacean
MCJOB	Low-level position
MAEWEST	Queen of double entendres
ARC	Cannonball's path
DETOURED	Took an alternate route
DOS	Bob and pageboy
DAYTON	The Wright brothers' Ohio home
OKEEFE	Michael of "Caddyshack"
SCARFS	Gobbles (down)
ALONE	1987 #1 Heart song that starts "I hear the ticking of the clock"
AIOLI	Sauce made with garlic and olive oil
SCARE	Adrenaline producer
AKC	Dog show org.
PORKBARRELPROJECT	YOUR TAX DOLLARS AT WORK ...
APRS	Mortgage figs.
RATE	Part of 24-Down
YEA	Call of support
SHAPE	Some run to get in it
KAPOW	"Batman" fight scene sound
OSTER	Blender brand
STIRS	Awakens
ACE	Hold 'em bullet
APACE	Swiftly
COLOR	Kind of commentator
PREPARETOBECUTOFF	MERGING TRAFFIC ...
PINT	Pub order
ARCHY	Don Marquis's six-legged poet
ROARER	Lion or tiger or bear
CHEE	Tony Hillerman detective Jim
POPUPS	Flies that don't go far from home
USS	___ Intrepid
IRONED	Removed fold marks
SHRINES	Places to pray
ALLS	Know-it-___ (cocky types)
INCA	Cuzco native
INS	Connections
STEER	Range rover
SHARE	Investment unit
COASTONTHROUGH	STOP ...
TOURS	Roadies work on them
OPRAH	First name in TV talk
OSO	Spanish bear
UMA	Actress Thurman
GADS	Gallivants
EDSELS	Some '50s Fords
ETON	School for Prince Harry
LONI	Anderson of "WKRP in Cincinnati"
SEEN	Spotted
ERY	Suffix with hatch
OPS	Special ___
YESMAAM	Reply from a polite young'un
MAR	Harm
TOE	It's often pointed in gymnastics
FUR	Ermine, e.g.
FAD	Troll dolls or Silly Bandz
ROADRAGEZONE	CONGESTION NEXT 10 MILES ...
GOTTI	Gambino boss after Castellano
ETHOS	Group values
ZOO	Place with feeding times
MAHARAJAS	Wearers of jeweled turbans
MGRS	Supermarket V.I.P.'s: Abbr.
AONE	Best-of-the-best
HOAR	Frozen dew
JOS	Betty, Bobbie and Billie followers on "Petticoat Junction"
ARTIE	Bandleader Shaw
STAG	Woodlands male
SEROTONIN	Neurotransmitter associated with sleep
GOODSHORTCUT	NO THRU TRAFFIC ...
CNN	"The Situation Room" airer
UDO	Japanese vegetable
TURTLE	Slowpoke
THO	However, briefly
RNA	Genetic material
STANDUP	Open mike night format, perhaps
PEALE	"The Power of Positive Thinking" author
ATO	From ___ Z
AHA	"I get it now"
HAG	Wizened woman
HISANDHER	Like some matching pairs
AGENT	Representative
GNASH	Grind together
SERAPH	Winged celestial being
ALEVE	Anacin alternative
POTEMKIN	Famed Russian battleship
HOWI	"That's just ___ feel"
IGNORETHISSIGN	STAY IN LANE ...
TRYA	"___ Little Tenderness"
SAM	Houston after whom the Texas city is named
LOOSE	Kind of translation
SOFTEST	Toilet tissue superlative
TARA	Setting for the biggest movie of 1939
ASEA	Sailing
BASETWO	Number system with only 0's and 1's
BLIGHT	Worry for a farmer
AENEAS	Leader whom Virgil called "the virtuous"
SARTRE	Jean-Paul who wrote "Words are loaded pistols"
PHILLY	Cheesesteak capital
POLITY	Particular form of government
HUTT	Jabba the ___, "Star Wars" villain
ISSUER	Bond offerer, e.g.
HUMANS	Earthlings
HOSE	It may wind up at the side of the house
UPSIDE	All the pluses
LEAVEIFYOUSEEACOP	NO STOPPING OR STANDING ...
YIPES	"Criminy!"
CARNY	Sideshow worker
NTH	Ultimate degree
INREM	Like some legal proceedings
TILTS	Has an angle
ASSAD	Syrian president
AGRA	Taj Mahal site
GET	Comprehend
KEEPITUNDEREIGHTY	SPEED LIMIT 65 M.P.H. ...
EMU	Bird in New South Wales
NRA	New Deal inits.
DWI	Breathalyzer determination, for short
EIN	One, for Fritz
TAN	It's often picked up at the beach
YDS	QB's stat.
HAR	Guffaw syllable
IMSET	"None for me, thanks"
ERWIN	Field Marshal Rommel
DREAD	Feeling when called to the principal's office
TSE	Literary monogram
NUTSY	Cockeyed
RAINY	Requiring an umbrella
EARNS	Brings in
