FETE	White House affair, maybe
FUJI	Kodak competitor
ELAL	Mideast carrier
TACITURN	Reserved
ENQUIRY	Commission's task
ABOVE	Beyond's partner
ACE	Top-notch
BULK	Mail may be sent in this
OBIE	Award for Tony Kushner
VINYL	Like old records
ETE	Summer on the Seine
AMAT	Part of Latin 101 conjugation
AVIATOR	Wilbur or Orville Wright
MARLIN	Florida player
AROMAS	Bouquets
TYNAN	"Seduced" senator of film
ULAN	___ Bator
CUBIT	Measure from the elbow to the end of the middle finger
VARY	Results may do this
JACQUELINE	With 33-, 36- and 40-Across, American born 7/28/1929
UMP	Man in black?
IRON	Press
ILIUM	Hip bone
KEY	Vital
SALMA	Actress Hayek
SOOEY	Cry on a hog farm
TIP	Boating mishap
LAOTIAN	Neighbor of a Vietnamese
AMIDST	During
HOUR	Period of time
HAL	"2001" mainframe
OWE	See red?
IND	Gary's home: Abbr.
IBEAMS	Structural members
NONS	Votes in Versailles
DUNST	Kirsten of "Spider-Man"
MOONS	Periods of time
AWRY	Off
BOUVIER	See 17-Across
VEIN	Marble feature
LEN	Hall of Fame QB Dawson
KENNEDY	See 17-Across
KNEES	Genuflection points
STU	Name that's an alphabet trio
SMOOTHLY	Without a hitch
TON	Proverbial brickload
USS	Seagoing letters
ONASSIS	See 17-Across
ORDEALS	Trials
HMOS	Modern medical grps.
HELIXES	DNA structures
ROREM	Composer/writer Ned
RAISIN	Granola ingredient
ODDMAN	One who's "out"
TNT	Cable inits.
EONS	Ages and ages
SADDEST	Most blue
SAUDI	Any of the Fahd ruling family
TWIXT	___ 12 and 20
SLO	___-mo
SRO	Angel's favorite letters
AIDES	Right hands
WPA	New Deal inits.
PLIE	Dancer's exercise
ALDA	13-Down player
RITTS	Celebrity photographer Herb
TASS	Itar-___ news agency
STAT	E.R. order
USMA	Where D.D.E. went to sch.
PILLBOXHAT	Topper made popular by 17- and 36-Across
POS	Med. test result
BEL	___ canto
DIAL	Retro phone feature
OXIDE	Laughing gas, for one
ELSA	"Born Free" lioness
INNS	Lodges
STEAL	Baseball datum
SYST	Part of CBS: Abbr.
