THOU	G
TROD	Trampled
HONI	___ soit qui mal y pense (classic motto)
OAKS	Squirrels' haunts
UNPAIDBILL	Matter of growing interest
OPT	Select, with "for"
OSPREY	Fish hawk
PLIERS	Electrician's need
TAKETO	Become attracted by
CHOO	Ah follower
CDS	Some savings accts.
HUP	Drillmaster's syllable
ONECAR	Kind of garage
OKAPIS	Nocturnal animals of the upper Congo
REACTOR	Atomic pile
ROO	Aussie hopper, for short
EIRE	Revolutionary Michael Collins's country
ALBINO	Pink-eyed panther, say
CLOSEDSHOP	Union site
TIANT	1960's-70's All-Star Luis
ONSET	Start
RETRY	Hear again
ROAN	Moroccolike leather
SLAMDUNK	Dramatic court action
MEDIATOR	Go-between
OILLINE	Vital engine conduit
ONKP	Working in a mess
PIKESPEAKORBOAST	Vain mountaineer's motto?
KOD	Decked
DISAGREED	Didn't come to terms
GNATS	No-see-ums
CPO	Rank in the 40-Down
EISNER	Disney V.I.P.
INERTIA	Inactivity
AKIO	Sony founder Morita
AIDE	Auxiliary
EQUAL	Identical
NETTY	Like mesh
ALLDAYSOAKERS	People who love baths?
ADOBE	Big name in Web software
LOGOS	Symbols of industry
LURIE	Pulitzer winner Alison
END	Call a halt to
QUOD	Part of Q.E.D.
USN	Service for a 28-Across
DOUBT	"When in ___ tell the truth": Twain
TIN	Soldier material?
NUS	Some fraternity men
NEUROSIS	Freudian topic
STAB	Poke holes in
TORT	Civil wrong
ANNO	Part of A.D.
BEEP	Page
OGRISH	Like a monster
HYDRA	Victim of Hercules
GOODCLEANPHONE	Wiretap victim's wish?
GENERALS	Big brass
CHALK	Billiards need
LAIR	Retreat
PLIE	Ballet bend
BOIL	Seethe
YSER	Belgian river
SOI	"___ lied!"
HAUL	U-___
LORNE	Actor Greene
ESEL	Düsseldorf donkey
DON	Put on
STAIR	Part of some gym exercise equipment
STAIN	One may be taken to the cleaners
TAR	Besmirch
TIPTOP	The very best
TUCKS	Plastic surgeons' work
ORIENTALROGUE	Problem for the Shanghai police?
OINK	Piggish remark
NULL	Zero
GEL	It may get in your hair
IBERIA	James Michener opus
ISBN	Novel ID
BALE	Farm wagon item
ETAT	Maine, e.g., in Metz
RICHTHOFEN	Manfred von ___ (The Red Baron)
RUARK	"Something of Value" author Robert
SEC	Blink of an eye
TODD	Abe's Mary
TEETOTALER	Dry
ORION	Stars with a belt
DONNE	Clergyman/poet John
DOSES	Medicates
SATIN	Lush material
BALI	"___ Ha'i"
BALSA	Light wood
BILK	Defraud
BEARUPON	Be relevant to
EROO	Switch add-on
BLACKWALLNOTES	Graffiti?
WET	Dripping
OAT	Meal starter?
TACT	Playing to someone's vanity, maybe
SKEINS	Coils
KABUL	War-torn capital of the 1980's-90's
NETH	Rembrandt's land: Abbr.
ELS	High rollers?
AAA	Like a good bond
ATONE	Make reparations
TKTS	Sign seen in Times Square
KANSAS	Big Twelve school
HOTCROSSBONES	Pirate flag in the summer sun?
HIRSCH	Judd of "Taxi"
OFYORE	Long past
ONEACT	Like O'Neill's "Bound East for Cardiff"
SETTLE	Avoid a trial, say
SOUSED	Blotto
SASHA	Alexander, to friends
SANYO	Hitachi competitor
ALOOP	Knock for ___
SMITE	Lay low
ASIF	Like
SAD	Regrettable
TUNEOUT	Stop listening
ALMOND	Praline ingredient
DAME	Gentlewoman
ARY	Suffix with honor
PETULANCE	Spoiled brat's display
NANA	Zola heroine
CROC	Leathery sunbather
EASY	"No sweat"
NOIFSANDSORBOATS	Policy of a strict naval blockade?
NOA	"...___ thousand times..."
RYE	Deli choice
BUD	Early development
LARA	Superman's mother
YOTEAMO	Spanish valentine sentiment
CRYUNCLE	Give up
ENOS	Grandson of Eve
OPENSEA	It's far out
HEED	Take note of
TED	Turner in Atlanta
RACY	Suggestive
