SHUL	House of worship
SPAM	Unwanted 41-Across
HOLA	Juan's greeting
USSR	Former empire
LEOTARD	Dance piece
PERMS	Durable dos
PECAN	Ice cream flavor
EARNED	Not free
RTES	Carriers' paths: Abbr.
MUD	Disgraced person's name?
SPIKELEE	"Girl 6" director
CHE	60-Across role
CHIMERICAL	Imaginary
HONER	One perfecting
EWERS	Ones with wide spouts
POSE	Flex one's muscles, maybe
EATUP	Really enjoy
SHOW	Vegas attraction
SLAKE	Satisfy
ALSO	Additional thought preceder
CREDITLINE	Bank extension?
TRAINDEPOT	Embarkation location
MARTIANS	Race from a faraway place
INYOURFACE	Aggressive
KRAMER	"Judgment at Nuremberg" director
ANNE	Charlotte and Emily's sister
BEAKERS	Chemistry lab sights
BLIP	It's monitored by an air traffic controller
SCARY	Daunting
SLAW	Potluck dish
CARE	See 64-Across
ANCESTRESS	Eve, ultimately
DALLIER	Poor custodian of time
ALAMO	Its garrison was wiped out in 1836
LANDO	___ Calrissian of "Star Wars" films
LIEN	Financial security
IPO	Financial page announcement, briefly
PRIM	Inhibited
OILY	Suave to a fault
ARC	Electric ___
USHAPED	Like a trombone slide
SOFTENED	Not so harsh
HARE	Constellation south of the Hunter, with "the"
CRI	Henri's shout
WEE	Kind of hour
ROAM	Lack direction
EMAIL	Virus carrier, sometimes
MANROOT	American morning glory
SAFFRON	Bouillabaisse ingredient
ARISE	Commence
NEGATE	Undo
PALMY	Prosperous
CUTRATE	Bargain-basement
COPRA	Dried coconut meat
UNRUH	Jesse of California politics
EGON	Austrian Expressionist Schiele
GOYAS	Some Prado works
ONRICE	How many Asian entrees are served
EGOTRIPS	Narcissists take them
EDIT	Cut down, maybe
IRMA	Advice columnist Kurtz
PEAK	Busiest
SORE	Stung
PRESENTDAY	Current
TVA	Depression Era agcy.
OREO	Ice cream flavor
RUSE	Machination
EVITA	Popular musical
OMAR	Gen. Torrijos
AHS	Physical sounds
DATES	Chewy fruit
TAKE	With 25-Down, be prudent
