BAMBI	White-tailed movie star
BIT	Iota
ALI	Larter of "Heroes"
MIC	Amp plug-in
BAKLAVA	Honeyed pastry
IDEA	Start of a plan
SMOKE	Barbecue byproduct
SEADOG	Old salt
MSG	Bouillon cube ingredient, usually
OSE	Sugar suffix
KENS	Boy toys?
EXTORTS	Shakes down
IREST	"Many good nights, my lord; ___ your servant": Shak.
INSITU	Untouched
REMATCH	The Thrilla in Manila, for one
ECOL	Reforestation subj.
SCOW	Garbage hauler
TOTO	Emerald City visitor
LGA	N.Y.C. airport
LOOKIE	"Hey, see what I got!"
GRUELS	Meager bowlfuls
ASTROS	Club that began as the Colt .45s
ILIAD	Literary work in which Paris is featured
ESSEX	County abutting London
NECCO	Candy wafer company
ORS	Hosp. workplaces
TICKETAGENT	Career Day Speaker #1: Meter maid?
TURNSRED	Blushes
SMOOTHOUT	Unwrinkle
HRS	Over-the-wall wallops: Abbr.
LAUD	Talk up
SOCIALWORKER	#2: Tea server?
CIRE	Glazed fabric
ETTA	Blues musician Baker
EDSEL	It debuted on "E Day"
TREVI	Fountain in front of the Palazzo Poli
TIDALBASIN	Large body in Washington, D.C.
ROLO	Chocolate-and-caramel brand
LIMB	Appendage
ONELB	16 oz.
RITT	Filmmaker Martin
SILO	Big bin
DRIVINGINSTRUCTOR	#3: Golf pro?
INAIR	Where Key's bombs burst
SEER	Reader of signs
TEAM	Wagon puller, often
ORGAN	It's often played on Sunday
REINA	Madrid's ___ Sofía Art Center
ESS	Swan's shape
SEDANS	Many four-doors
MEESE	1985-88 attorney general
HERES	Toast starter
STACKS	Library section
EVA	Mendes of "2 Fast 2 Furious"
ARABLE	Growing-friendly
ASOF	From
AGITATE	Perturb
AGREESWITH	Seconds
TEEN	Many a bar mitzvah attendee
ERST	First, in Frankfurt
LIL	Rap's ___ Wayne
IES	Suffix with pant or aunt
BRANCHMANAGER	#4: Tree surgeon?
ARCHI	Prefix with -tect
NHL	Goal-oriented org.
CEE	Middle grade
HARM	Impair
BARDOT	Sex symbol once married to Vadim
ANTONE	San ___, Lone Star State city
TIFF	Slight fight
RHEA	Flightless bird
NACRES	Button materials
IRAN	First landfall north of Oman
ISUP	Leads (by)
RYNE	Hall-of-Famer Sandberg
FILECLERK	#5: Manicurist?
LII	A little over half a century in old Rome
ESC	"Help!" key
KILO	Unit of contraband
KENT	Reeve or Reeves role
SYSTEM	Gambler's holy grail
ENARM	Equip with weapons, old-style
MOMMA	Mell Lazarus comic strip
FISH	They take the bait
MISUSE	Warranty invalidator
SABERSAW	Hand-held cutter
UTILE	Functional
UNIONOFFICIAL	#6: Justice of the peace?
FEAR	Cause of quailing
AKIN	Comparable (to)
LEDGE	Break in a building's facade
LAT	Long. partner
SHE	___-wolf
HANOI	World capital once under French rule
EYERS	Spectators
PENNAME	Literary creation
KENOBI	Skywalker's cohort
NEDS	Beatty and Sparks
WAY	"No ___!"
ERMAS	"Aunt ___ Cope Book"
SKEETER	Pesky biter
ASIDE	Play byplay
ATOP	Mounted on
SISENOR	Approval for Juan Valdez
ELAINE	___ Chao, only cabinet member to serve through George W. Bush's entire administration
ACTFIVE	When Juliet says "O happy dagger!"
GAT	Dillinger's derringer, e.g.
GERBIL	Animal in an exercise wheel
AVERSE	Unwilling
TACOMA	City in Mount Rainier's shadow
MARKETINGDIRECTOR	#7: Grocery store owner?
EGESTS	Disgorges
ITLLDO	"I can get by with that"
EVAN	2007 Steve Carell title role
NOW	Parental imperative
EGOS	I's
ESTS	Job bidding figs.
THIS	First of two choices
RECORDKEEPER	#8: Disc jockey?
RBIS	Result of 26-Down, often
DENT	Lot "souvenir"
KALE	Leafy vegetable
RONA	Author Jaffe
LAFF	"___-A-Lympics" (old TV cartoon series)
FRAY	Skirmish
BROWBEATS	Bullies
NOVELWRITER	Career of the parent who typed up the Career Day schedule?
VET	One likely to have pet peeves?
ENS	Dash lengths
TIA	___ Maria
EAR	Human body part with vestigial muscles
RNS	Hosp. V.I.P.'s
ISM	Conclusion for many believers?
INLET	Bay, for one
ONEND	Sideways up
AVIAN	Of interest to ornithologists
LEA	Grazing ground
STERS	Dump and road endings
RATSO	"Midnight Cowboy" nickname
YEARS	College classes
