PURISM	Insistence on precise standards
PAPEETE	Capital of French Polynesia
UNPLAIT	Pull out, as braids
RAE	"The Facts of Life" actress
ISAN	"My life ___ open book"
STRUM	Play, in a way
MASTERK	Passe-partout
CHICKS	Matured nest eggs?
CHURCHK	Can opener
HONEY	Somebody nice
IOLE	One loved by Hercules
CSA	Org. of 1861
KITCHEN	Galley
SECRETE	Conceal
CANASTA	Game played to 5,000 points
CAESAR	Gallic Wars chronicler
HOOSIER	Antique storage cabinet for food
RHINOS	Ones making lots of charges
APPEARS	Looks
UNLATCH	Open
EEL	Danger to divers
NUTTREE	Cashew, e.g.
TRA	___-la-la
CRI	___ de coeur
SEAS	Classical septet
SLUGGER	Fly swatter
MERCY	Topic for Portia
THEN	"And so?"
TWOBALL	It's solid blue in pool
ATILT	Inclined
TROOP	Hike en masse
RAH	The old college cheer
OWETO	Have a loan from
OTROS	Others in Oaxaca
RETURNK	It enters things
NON	Security Council veto
KSTONES	Linchpins
SOB	Kind of story
GOO	Comment from a high chair
ORB	Moon, to a poet
SINGONK	Be in tune
SCHEME	Intrigue
IRONING	Work done on a collapsible table
NEEDSTO	Must
KHOLDER	Ring for openers?
KBOARDS	Position in a rock band
KSTROKE	Computer tap
REAWAKE	Come back to life
DEMETER	Ceres to the Greeks
SKATER	Winter Olympian
CREEP	Pussyfoot around?
HIS	How-do-you-dos
IRA	Bit of finan. planning
SLEEK	Having nice lines
HOER	Weed killer?
TORTS	Precursors of suits
TOILE	___ de Jouy (upholstery fabric)
SINAI	Locale in Exodus
LAMA	Part of an order
END	Judgment Day
POLARIS	Travel guide?
PATH	Way to go
SAYS	Hazards a guess
WET	Soaking
MISLAID	Lost
LIP	Edge
ONADATE	Not stag
DAN	Northernmost city of ancient Palestine
ENTITLE	Permit
KAYAKER	Summer Olympian
GOPHER	Minnesotan
EISNER	Longtime Disney exec
