FATBACK	Lard source
FASO	Burkina ___
ARON	"East of Eden" twin
TELE	MTV segment?
BADLANDS	South Dakota's ___ National Park
AMEER	Robed ruler: Var.
CARGOPANTS	Wear for rough outdoor activities
KPS	Some G.I. duties
NETFLIX	Service with a queue
NARIS	Nostril
ENES	Chemical endings
TAM	Laddie's lid
FLORAL	Like some prints
LOVER	Gallant
IGAVE	Donation declaration
XYLEM	Botanical nutrient conductor
AREAMAP	G.P.S. receiver display
ANALOGY	Explanatory tool
SOLDERS	Uses a certain iron
REMOVAL	Ousting
ONELEG	What flamingos often stand on
SIS	Reunion moniker
SACRILEGE	Profanity
REVE	Vision de nuit
AROMAS	They travel by air
MARTA	Atlanta commuting option
HAREM	Part of some Muslim households
HERAT	Afghan province or its capital
ATTN	Ltr. recipient pinpointer
ARCH	Mischievous
TOOT	Sound of impatience
TANS	Some vacationers' acquisitions
PAC	Candidate supporter, briefly
DEL	First to be admitted?: Abbr.
DOGCATCHER	One who might pick up toys
ROADWARRIOR	Frequent business traveler
WESER	River formed by the junction of the Fulda and Werra
INAWE	Amazed
JAM	Flow stopper
JUTE	Cordage material
ALES	Potent round
MTST	___ Helens
CONSENTINGADULT	One who didn't say no?
DIRTROAD	Where you might get into a rut
HTS	Abbr. in some city names
STALACTITES	They hang from the roof
XES	Indications of good bowling
XANADU	Exotic estate
EWA	___ Beach, Hawaii
REST	What's left
QATAR	Home to Al Jazeera
QUAKE	Faultfinder's concern?
ALVIN	Gridder Harper
TAILS	Heads-down view
IGETIT	"Oh, right"
IRREG	Like some bad goods: Abbr.
IAMSO	"___ sorry!"
ULAN	___-Ude (Russian city on the Trans-Siberian Railroad)
PRE	Game intro?
PORN	Feelthy stuff
CARTEL	Trust
TOME	Space hog in a library
EZER	Israel's Weizman
LESS	Much ___
AVIATOR	An ace is a good one
TAI	Sea bream, in a sushi bar
SHMOOZE	Chin-wag
SSE	Birmingham-to-Montgomery dir.
KILDARE	County west of Dublin
SESAMES	Some oilseeds
ENSUING	Subsequent
ERODERS	Things that wear well?
