NOG	Christmas drink
NIH	Biomedical research org.
OWOW	"Man, that hurts!"
GONE	All used up
DAB	Little bit, as of color
DIRK	Dagger
AMELIA	Earhart who was the first aviatrix to fly solo across the Atlantic
BARYON	Subatomic particle made of three quarks
NOM	___ de plume
NEIL	Young of Crosby, Stills, Nash & Young
ORCA	Killer whale
MOEN	Big name in faucets
MOM	T.L.C. giver
MIXER	The 7-Up in a 7 and 7
OVERT	Conspicuous
MESSY	Like dorm rooms, often
IWOJIMA	1945 battle site with a flag-raising
JOE	Quarterback Namath
EROSIVE	Like waves on a shore
SANA	Yemen's capital
HONORER	One offering kudos
ICEAXES	Mountain climbers' tools
WEEKLYPLANNERS	Books for jotting down appointments
PUNK	The Sex Pistols' genre
IOU	Lendee's note
ARTY	Pretentious
CATSCANNERS	Hospital imaging devices
CENT	¢
ADES	Juice drinks
TITO	Marshal ___, Yugoslavian hero
STS	Ave. crossers
CHUMP	___ change
EEC	The Common Market: Abbr.
REY	Playa del ___, Calif.
SPYON	Watch through binoculars, say
EDITH	Author Wharton
KEEP	Not rot
YOS	Hip-hop greetings
YULE	Christmas
ONER	Lollapalooza
SGTS	Bilko and Pepper: Abbr.
NETSURF	Cruise around the Web
ROO	A. A. Milne baby
FOO	Rock's ___ Fighters
CYYOUNG	Award won by Roger Clemens seven times
OWN	Have the rights to
TSO	General on Chinese menus
MOOD	Word before ring or swing
DRAB	Lacking color
OWLET	Miniature hooter
POORMANNERS	Burping and slurping in public
MEAGER	Scanty
ARNOLD	Gov. Schwarzenegger
SECS	Moments, in brief
SPEAK	Command to Fido
ERASE	Wipe out
CORKY	Like the taste of some bad wine
STAS	Subway stops: Abbr.
AER	___ Lingus
PROTESTBANNERS	Places for antiwar slogans
ECON	Supply-and-demand subj.
SHUN	Ostracize
TETE	French bean?
NALA	"The Lion King" daughter
ELI	Priest who raised Samuel
ROSA	Sub ___ (secretly)
SNOB	One looking down on the "little people"
EARACHE	Case for an otologist
GOALONG	Say "Sure, why not?"
GNU	Wildebeest
ASKSOUT	Invites to a movie, say
ELLISON	Ralph who wrote "Invisible Man"
KEY	Florida island
NNE	Opposite of SSW
RDA	Nutritional stat.
ABU	___ Dhabi, Persian Gulf port
