ACHE	Cause for a massage
ACCEPTS	Countenances
CHARIOT	Early racer
HUMANPRETZEL	Contortionist
EMP	Ottoman, e.g.: Abbr.
OGPU	K.G.B. predecessor
OMIT	Jump over
GIGOLO	"Just a ___" (Marlene Dietrich's last film)
PENROD	1914 Booth Tarkington novel
UNPILE	Disentangle
ARGOT	Crookspeak
AMOS	"Under the Pink" singer Tori
RIM	Circular edge
GRIN	Put on a happy face
OTSEGO	Lake that James Fenimore Cooper called Glimmerglass
THERAM	First sign
POSTS	Blog comments
PEC	Lifter's rippler
OLIO	Salmagundi
SIGNHERE	Words of endorsement
TOAMOUSE	Robert Burns poem
STRESSES	Italicizes, e.g.
CHUM	Crony
MIEN	Look
MIRTH	Risibility
ELIOT	Poet who wrote "Immature poets imitate; mature poets steal"
CAMPAIGNPROMISE	Tax relief, e.g.
ASH	Burning issue
REARM	Give up on détente
CIGAR	Churchillian trademark
ERA	Chapter
STORIES	Lies
NERO	Subject of a Boito opera
OPEC	Barrel org.
ONME	"Down ___" (Janis Joplin song)
PINCH	Be too tight
COOP	It's for the birds
LOLA	Doc's wife in "Come Back, Little Sheba"
GAPS	Timeline breaks
STOKE	Stir up
HOS	December laughs
TOPO	"___ the morning!"
MODERNPROMETHEUS	Mary Shelley subtitle, with "The"
MESA	Broad terrace with a steep side
NAURU	World's smallest island nation
PUNITIVE	Castigatory
RIPE	Fully ready
HALYARD	Flag raiser
STRODE	Moved purposefully
DIJON	Côte d'Or's capital
MAUI	Windsurfers' mecca
COARSE	Using one's shirtsleeve as a napkin, e.g.
EPISTLE	Big letter
TSE	Chinese philosopher Chuang-___
LONGBOW	Nonmechanized weapon
ENGR	Boeing worker: Abbr.
UNPEG	Free, in a way
ESTONIA	European Union member since 2004
GTO	Car that "beats the gassers and the rail jobs" in a 1964 hit
KLEES	"Fish Magic" and "Twittering Machine"
EMT	Fig. in TV's "Third Watch"
EGGS	Adam and Eve, at a diner
MIRO	"Harlequin's Carnival" painter
JASONPRIESTLEY	TV star who directed the 1999 documentary "Barenaked in America"
PLOPPLOP	Initial sounds of a relief effort?
LES	Good name for a minimalist?
GIZMO	Thingumbob
MESSIAH	Handel oratorio
ENGLUT	Consume piggishly
TOE	Piggy
APSO	Lhasa ___
PUSHKINPRIZE	Russian literary award established in 1881
STEM	Glass bottom
OSLO	Where the Storting sits
GREENE	"The End of the Affair" author, 1951
EPA	energystar.gov grp.
GRO	Miracle-___
IGO	"___ Crazy" (1977 Paul Davis hit)
GAMY	Slightly tainted
STRUTS	Car body strengtheners
TEETH	Bridge supports
SOLS	Answers, for short
PUB	Sot spot
USD	Alternative to the euro: Abbr.
PAVANE	Stately old dance
ARTUR	Pianist Rubinstein
EEK	Hair-raising cry
EDSEL	Father of Henry II
SEASONPREMIERE	Fall event, usually
EDGAR	Mystery award
NEIN	Kurt denial?
RUST	Sign of neglect
HMO	Doc bloc: Abbr.
SAPID	Palatable
STMORITZ	Swiss resort with the Cresta Run
ARAPAHOE	Ally of the Cheyenne
PINSDOWN	Gets to commit
DWELT	Live in the past?
YAKUTSK	World's biggest city built on continuous permafrost
SION	Capital of Valais canton
TRIAGE	Priority system
ETON	Where Huxley taught Orwell
IOUS	Short notes
SONIC	Kind of barrier
SHIISM	Branch of Islam
STERNUM	It sticks to the ribs
MONSTRO	The whale in "Pinocchio"
MANHATTANPROJECT	Matter of W.W. II secrecy
TWISTS	New wrinkles
ASPIRE	Reach for the stars
JEERER	Vocal opponent
ELBERT	Second-highest mountain in the lower 48 states
CLEESE	Q player in "Die Another Day"
ONTO	Mindful of
OPS	Special ___
ROWS	Rank and file
NELL	Dudley Do-Right's love
INPEN	Permanently
IMP	Devilkin
RADS	CAT scan units
SPEE	Admiral who went down with the Scharnhorst
NIPS	Cheese ___
SLOE	___-eyed
TIEBEAM	Transverse rafter-joining timber
TSPS	Recipe measures: Abbr.
ANTS	Social workers
RRS	Reading and others: Abbr.
IHOPE	Comment made while crossing the fingers
ERR	Muff
SILKSCREENPRINT	Serigraph
KOD	Sent sprawling
RAN	Turned yellow, maybe
TOWER	Skyscraper
TROOP	Batch of Brownies
ERST	Back then, back when
AZUR	Bleu hue
ZENER	___ cards (ESP testers)
SEEDS	They're the pits
RTES	Short ways to go?
NEMO	"The Mysterious Island" captain
