ALIT	Dismounted
ANTI	Voting no
LAWN	Croquet locale
IDEA	Mental flash
TANTE	Oncle's spouse
DELA	Designer Oscar ___ Renta
DAYBYDAY	How diaries are written
EGO	Self-image
LONI	Anderson of "WKRP in Cincinnati"
ARENA	Boxing venue
AMEN	Last word in the Bible
AMIE	Femme friend
MENU	Restaurant reading
EGGS	Coop finds
NASA	Rocketeer's org.
NADA	Zippo
AGORA	Athenian marketplace
ASTRO	The Jetsons' dog
MEGA	Big, big, big: Prefix
TWENTYONESWINGS	Playground situation #1
TUNE	Whistler's whistle
WHENCE	From what place
INATUB	Place for three men of verse
INTHEUSA	Where Springsteen was born
ENYA	"Orinoco Flow" singer, 1989
AORTA	Circulation line
ARE	"Right you ___!"
ITA	Give ___ go
INTRA	Part of IUD
TOWIT	Namely
ALENE	Coeur d'___, Idaho
EDOM	Land of Esau's descendants
MAHER	Bill who said of his TV monologues "It's all been satirized for your protection"
ONTIME	As per schedule
TOKE	Hit, of a sort
ICILY	How you might respond to an offensive remark
MODES	Styles
EASEL	Aid in show-and-tell
NOLI	___ me tangere (touch-me-not)
INGA	Swenson of "Benson"
ARAT	"Was it ___ I saw?" (cat's palindrome)
TROOP	Scout unit
COCOA	Drink you stir
TWENTYTHREEKIDS	Playground situation #2
TOMATO	Marinara sauce ingredient
ENTRUSTS	Gives over for safekeeping
RINGO	Fab Four member
AEON	Long, long time
ELEE	"Waiting for the Robert ___"
ATEAMS	First-string athletic groups
SORRY	"Apologies!"
ROTH	"Portnoy's Complaint" author
HONE	Sharpen
YSL	High-fashion inits.
AOL	Internet access co.
LATEX	Glove material
PROD	Goad
DWEEB	Hardly Mr. Cool
SINATRAS	Ol' Blue Eyes' family
STLO	Battle town of 1944
IWIN	"Heads ___, tails ..."
NOME	Gold rush locale of 1898-99
AFAR	Some distance away
SHAM	Fake
UNWISE	Rash, perhaps
ISTO	Words in a ratio
SARA	Poet Teasdale
EWER	Washstand vessel
TWOFORTHESEESAW	1962 Robert Mitchum/Shirley MacLaine film ... or the outcome of 17- and 40-Across?
ESA	That, to Juanita
LIMA	Vegetable on a vine
YEAST	You can get a rise out of it
ETRE	French 101 verb
ONER	There's nothing like it
XMAS	December ad word
BOAR	Wild hog
