LOBE	Ear part
LOCA	"Livin' la Vida ___"
OKOK	"Enough already!"
BROILERS	Young chickens suitable for dinner
EATSAWAY	Erodes
APPT	Date with an M.D.
APE	Monkey's uncle?
PAPAYA	Mango alternative
PAIR	Ark unit
TREE	Genealogy chart
ARBYS	Restaurant chain whose logo features a western hat
AHA	Cry of discovery
RELIEF	Help from a bullpen
BRONCO	Rodeo horse
YOHOHO	Start of a pirate's chant
SNARED	Caught in a trap
OKRA	Gumbo vegetable
PAAR	Carson predecessor
HERON	Long-legged fisher
COOTIEPIE	Germy dessert, to a five-year-old?
ISR	Mideast land since 1948: Abbr.
ALOHA	"Hello, Don Ho!"
AKISS	Part of S.W.A.K.
ARES	Greek god of war
SALE	"Dollar days" event
INOR	"Are you ___ out?"
LARRY	Bird known for making baskets
RFK	___ Bridge, connecting Manhattan, Queens and the Bronx
AMECHE	Best Supporting Actor for "Cocoon"
MYNAS	Mocking birds?
AFEW	Not many
ABE	Prez on a penny
FAA	Air safety grp.
FAMILYFOOD	Grub consumed around the dinner table?
MAMBO	"West Side Story" shout during "The Dance at the Gym"
IMS	Sends an OMG or LOL, say
BARACK	Sasha and Malia's father
CASIO	Tokyo-based synthesizer maker
AMEN	Prayer's end
EASYA	No-brainer in school
OMS	Meditation syllables
OAF	Big galoot
ASSET	It might be fixed or frozen
STAGEMOM	Parent in the wings, perhaps
SERENADE	Play to the balcony?
ERG	Bit of energy
TSO	General on Chinese menus
SCAB	Picket line crosser
CLOG	Drano target
ASTERS	October blooms
ALA	One of the eight states bordering Tenn.
FOSSILFOOL	One who's daft about archaeology?
FATCAT	Influential moneybags
OHSURE	"And I'm the queen of England"
SCARED	Yellow
SHREWD	Cunning
OPPOSE	Stand against
ARGO	Cornstarch brand
AHCHOO	Sound before a blessing
PAIGE	Pitcher Satchel
IVY	It climbs the walls
TSAR	Peter the Great, for one
GASP	[Oh, my stars!]
ABBA	Pop group whose name is coincidentally a rhyme scheme
SOAP	Ivory, e.g.
VENTI	Twenty : English :: ___ : Italian
TRIG	Math subj. with many functions
IKEA	Big furniture retailer
CURED	No longer sick
DEY	Susan of "L.A. Law"
BOOTYMARK	X, to a pirate?
TEX	Many a cowpoke's handle
AREWE	"___ having fun yet?"
BASE	Hard-core followers, in politics
ODIE	"Garfield" canine
TEDDY	Good name for a lingerie salesman?
APEX	Zenith
MEGA	Prefix with phone
