LES	Guitarist Paul
LAIR	Place to hibernate
ERDE	Earth, in Essen
STAG	Unaccompanied
MARV	Sportscaster Albert
MORALE	A pep talk may boost it
AUS	Neighbor of Ger.
RIOS	Carriers of water to los océanos
VENA	___ cava
ANITA	Singer Baker
ADWARE	Pop-up-producing program
NEA	Cultural grant org.
INNIE	Certain navel
TIDAL	Kind of basin
ASAN	Dumb ___ ox
ART	Humorist Buchwald
LOUIE	Comedian Anderson
LONELY	In need of company
DENIS	Philosopher Diderot
IDA	First lady McKinley
ORSON	Director Welles
WANDA	Comedian Sykes
REGINA	Mezzo-soprano Resnik
INNEREAR	The body's balance regulator
SARA	Poet Teasdale
RALLY	Good news on Wall Street
IAN	Author Fleming
NELL	Actress Carter
LYCEUM	Lecture hall
ARIEL	Statesman Sharon
ICECREAM	Good Humor product
STANLEY	Director Kubrick
SCOP	Old English bard
TOME	No light reading
ARAT	"I smell ___"
ALEC	Author Waugh
ARREAR	Overdue debt
COREY	Actor Feldman
CARL	Baseball player Yastrzemski
ARK	Genesis craft
ERMA	Humorist Bombeck
RHET	Orator's skill: Abbr.
MENT	Puzzle completion?
ATEE	Perfectly, after "to"
OMAR	General Bradley
PERRY	Designer Ellis
PLANE	Creator of shavings
CHET	Newsman Huntley
PETE	Tennis player Sampras
LUKE	Country singer Bryan
IRENE	Dancer Castle
INSANE	Bonkers
ADAM	Economist Smith
DEMEAN	Humiliate
ANNETTE	Actress Bening
NOTONE	Zero
KAREN	Political adviser Hughes
KNELL	Mournful ring
ANNAL	Yearly record
ROSA	Civil rights figure Parks
ANN	Novelist Radcliffe
ARCA	Old Spanish treasure chest
MERL	Keyboardist Saunders
RAIN	Parade stopper
LALA	Follower of "ooh" or "tra"
TAMARA	Skier McKinney
ARAB	Spirited horse
ROLE	Credits listing
ADIN	Tennis edge
RENEE	Actress Zellweger
ERE	Bard's "before"
AARON	Composer Copland
RET	Abbr. after many a general's name
ROD	TV writer/host Serling
CLARA	Nurse Barton
ILENE	Soap actress Kristen
ALI	Actress MacGraw
ALLEN	Poet Ginsberg
NATE	Basketball player Archibald
BEN	Newspaper editor Bradlee
