GAMMA	Gallows-shaped letter
GARB	Duds
ALAR	Banned apple spray
MINI	Dress not for the self-conscious
MEAT	Butcher's stock
ANTI	Non-pro?
WIZ	1975 musical with the song "Believe in Yourself," with "The"
WASHES	Bathes
IDEAL	Standard of perfection
ZEAL	Passion
MESTA	Perle who inspired "Call Me Madam"
MESHED	Became engaged
EXPOSE	Blow the whistle on
STOUT	Thickset
TORSO	Trunk
ALTER	Shorten the sleeves on, e.g.
ALIEN	Not native
ADE	Stand buy
EXTOL	Sing the praises of
RANAT	Attacked
SEA	The Caribbean, for one
SPORT	Alternative to Rover or Rex
BRITISHALEHOUSE	-
SEE	Get an eyeful
ENIAC	Univac's predecessor
EEL	Wriggly fish
NESTOR	Wise old Greek
COOTIES	-
CAPE	Massachusetts getaway, with "the"
OPUS	Piece of music
ORBS	Scepter toppers
TOL	"My mama done ___ me"
INI	Italian diminutive ending
TIDE	Subject of some tables
THU	Tue. plus two
APRON	Cook's wear
AHA	"Now I get it!"
ADZ	Wood-smoothing tool
DNA	Essence of a person, one might say
DIDO	Founder and first queen of Carthage
NOTI	Reply to the Little Red Hen
ANON	In a bit
PUBLICEDUCATION	What this puzzle's four missing clues spell, in order
CRIME	Arrestable offense
EON	Endless years
ADD	What summers do
TIC	Nervous mannerism
ESS	Slalom section
ROZ	"Frasier" role
DIDTO	Inflicted upon
PAIN	Analgesic's target
PARKER	Sarah Jessica of "Sex and the City"
ARGYLE	Tartan pattern
OLDCOIN	-
ONAGER	Wild ass
LTR	Paper size: Abbr.
ASWARM	Teeming
ACRID	Biting
SHINE	Perform very well
WASTE	Coffee grounds and orange peels, typically
ANT	Atom ___, 1960s cartoon superhero
APACE	On the double
CHARGEDPARTICLE	-
DRIP	Tap trouble
TEST	Dry run
INTO	Sondheim's "___ the Woods"
CRAM	Fill by force
LORE	Washington chopping down the cherry tree, e.g.
ELKS	Part of B.P.O.E.
RISKY	Hazardous
RAG	Tease mercilessly, with "on"
ENROL	Sign up
INTEL	"___ inside" (slogan)
ICE	Sculpting medium
STARK	Desolate
DEERE	Plow man
PER	In accordance with
TOMES	Fillers of library shelves
