PATTI	One of the Reagans
POST	American Legion place
ACTH	Pituitary gland output
THAI	Ethnic cuisine
TOYSTORES	Top spots?
ISOLATES	Sets apart
ASIA	One flu source
ABETS	Encourages
SIXTIMESFIFTEEN	90...or a good title for this puzzle?
ICEL	Where the Althing sits: Abbr.
ASCETICS	They make do without
GIAN	Italian artist Bernini
GETIT	"Do you understand?"
IDIG	Answer to 10-Down
AGOG	Wowed
NYNY	Part of an Empire State Bldg. address
OCHOS	Spanish skating figures
BICS	Some ballpoints
EDGY	Tense
STAYOFEXECUTION	Reprieve
FIRE	Can
UPON	Over
THISLITTLEPIGGY	Repeated phrase in a children's verse
TARSI	Tibia connectors
TOT	Preschooler
COYOTE	Rancher's enemy
CASED	Looked over, in a way
OZAWA	Boston Symphony Orchestra leader
YULES	Wassailers' times
MAIN	Bounding site?
ARIA	Domingo delivery
CUR	Contemptible one
CONGA	Moving line
ULCER	Tagamet target
REEDY	Like some pipes
AZURE	Heraldic hue
MERC	Ford product, briefly
MELD	Four kings, maybe
COLE	Merry king
CARETAKER	Steward
SALESRESISTANCE	What higher prices may produce
RAINOUTS	Replay causes
TURNLEFT	"Haw!"
EWES	Members of the flock
ALFA	Code word
URGED	Plumped for
DAS	Court figs.
MIDI	Late-60's fashion item
MONS	Feature of a lunar landscape
DREARY	Depressing
DOLE	Big name in fruit
SON	Jesus, with "the"
SNAFU	Muddle
FRONT	Gang business's need
RESAY	Speak again
ICANNOTTELLALIE	Part of a Washington address?
IPSA	"Itself," in a phrase
CLUB	Triple-decker
AERO	Prefix with magnetic
TRIO	Fiddlers for 33-Across, e.g.
LIRE	Foreign money
INRE	Memo starter
EGOS	I's
PLEASURESEEKING	Hedonistic
SURF	Roar producer
TIEA	"___ yellow ribbon..."
FERRO	Prefix with magnetic
ABOU	"___ Ben Adhem" (Leigh Hunt poem)
SONY	Handycam maker
TREES	Corners
