UTHER	King Arthur's father
USHERIN	Mark the beginning of
THEAREA	What drop-in visitors may claim to have been in
HANDI	Convenient, commercially
ELIST	Tool for some group mailings
RENTAL	Realtor's listing
FRIENDS	Peace Nobelist group of 1947
FOURLETTERWORDS	What this crossword completely lacks
RUNTY	Pint-sized
ITS	Certain seekers
EDH	Phonetic alphabet symbol for "th" as in "the"
NRA	Rod squad?: Abbr.
DAKTARI	1960's TV series based on "Clarence, the Cross-Eyed Lion"
SWEETEN	Make more attractive
SHALE	Oil source
OUTDRAWS	Bests, say, in a duel
SNEADS	Golf's Sam and J. C.
CHENIN	___ Blanc (wine)
CHIPS	China problems
UNSHAKEN	Steady
HEADSTART	Racer's edge
ABASED	Took down a peg
TEE	Souvenir shop offering
IRRITABLY	With petulance
PLATA	Metal in Montana's motto
PARED	Cut back
LITRE	Bath water unit
PIE	"National Velvet" horse
LAE	New Guinea port in W.W. II fighting
PAIRED	Like chromosomes
PAK	Neighbor of Iran: Abbr.
SNAIL	Creeper
ICANT	"No way!"
LAITY	Flock, so to speak
STMARTINS	Imprint of Holtzbrinck publishers
MARINE	Leatherneck
CARETAKER	Custodian
RNS	IV league?
REMAINDER	Rest
RECAPS	Sportscast wrap-ups
EVASION	Waffling, e.g.
METHANE	Natural gas constituent
DEPPS	Actor Johnny and family
PEPPIER	More affected by Dexedrine
PATELLA	Cap not found on one's caput
STORE	Treasury
EVENTS	Time line stuff
RID	Cleansed
DETEST	Abominate
EAT	Erode, with "into"
CATTY	Subtly spiteful
OWNEDUPTO	Admitted
OTERI	Cheri of "Scary Movie"
DANTE	"In His will is our peace" writer
UPSET	Knock down
ASH	A silent butler may hold it
TOETAPPER	Extra-lively tune
PIAMATER	Membrane around the brain
MGM	Its films have roaring starts
ABE	Presidential nickname
TIS	"___ So Sweet" (gospel song)
ENSILE	Put away in the country
SONGBIRD	Oscine
STEEL	Kind of wool or mill
NEMESIS	"Star Trek: ___"
TETRA	Prefix with fluoride
