ALASKA	Michener best seller
ARF	Fido's greeting
LEO	___ Minor (northern constellation)
APR	Spring time: Abbr.
SANIBEL	Florida island
KYOTO	Doshisha University locale
ASWAN	It spans the 33-Down
SBA	Fed. loan agency
SEACOAL	Fossil fuel found in coastal veins
BATHOILS	Aromatherapeutic additives
ASTAB	Take ___ at
ASTRO	Nolan Ryan, for one
AONE	Five-star
SCORPIO	Autumn arrival
THEIR	Churchill's "___ Finest Hour"
RELIEF	It may bring on a sigh
ORS	Hosp. sites
SPA	Where to do some bodywork?
SOSOCOUSCOUS	Mediocre steamed dish?
PRUNERS	Branch managers?
ARMADA	Philip II dispatched it
REPAYS	Gets the red out?
EAST	National League division
TYPO	Letter drop, e.g.
OCHER	Limonite's pigment
ORR	Legend on the ice
FORNOW	Temporarily
ATTY	Certain partner: Abbr.
NOELS	They come on the 25th
SUM	It may be tidy
ITA	Ending with Juan
CHAPTERII	"The Carpet-Bag," in "Moby-Dick"
TOROID	Circular tube
DONA	With 63-Down, a New Mexico county
DADAPAWPAW	20th-century tree painting?
BONBONBOOBOO	Confectioner's goof?
BOWL	Play in an alley
OKAY	Not spectacular
NILE	Blue preceder or follower
BLACKBIRD	Crow, e.g.
PREFACED	Introduced
FETOR	Reek
OKIE	Merle Haggard, self-admittedly
LAI	Troubadour's tune
RAI	One of Thor Heyerdahl's boats
AYN	Author Rand
FEDORA	Snap brim, e.g.
WALLAWALLAYOYO	Washington dingbat?
AVON	It's known for its bell ringers
WIN	Sports stat
AISLE	Window alternative
YTTERBIUM	One of the rare earths
TAUS	They're cross-shaped
LYE	Lixivium
VIC	London's Old ___
SITIN	60's campus news
COPS	Forceful group?
CAKY	Like some face powders
MONKS	Men in the hood?
MAUMAUNONO	Terrorist's taboo?
SENSE	See 84-Down
STD	Part of P.S.T.: Abbr.
HUARACHE	Mexican sandal
HARKS	Uses one's 60-Down
URTICARIA	Hives, medically
HOST	A party to a party?
ELSA	Novelist Morante
PECAN	Texas state tree
POPE	Swift contemporary
EARS	Side flaps
CHICHICANCAN	Flashy dance?
BEALE	Street that hosts a music festival
ANA	See 30-Across
MARK	Slash, for one
MAO	Cultural Revolution leader
WOOL	Meal for a moth
OAHU	"Magnum, P.I." setting
DINNERPARTY	Occasion to use the good china
DUAL	Like some controls
POILU	Kepi-sporting soldier
PUSS	Kisser
PRIM	Victorian
URSA	Major introduction?
BOOKI	Serial novel's start
PASTA	It gets into hot water
PERU	Fujimori's land
ESCAPADE	Stunt
PLANS	They may be laid out
CII	X into MXX
CHUMPS	Easy dupes
SCREW	Kind of propeller
RIO	Spain's Guadalquivir, e.g.
HULL	Load line locale
SHULA	N.F.L. coach with 347 career victories
SUB	Stand in
AUTORACE	500
AIR	Castle site?
AGE	Keep in a cellar, maybe
ARGO	Jason's charge
GOOD	With 53-Down, smarts
EURO	Speculator's target
PINA	___ colada
PERRIER	Teetotaler's order
MUUMUUFROUFROU	Dress decoration?
MISREAD	See see as sea, say
FOPPISH	Like a coxcomb
FIDELIO	Vienna premiere of 1805
SECOND	With 118-Across, part of a child's schooling
STABLE	Pacer's place
DICIER	Less certain
IBM	Tech stock choice
TOI	You, to Yves
IGOR	Inventor Sikorsky
TRANSITS	Trips
TAMPA	Snowbird's destination, perhaps
PAGOPAGODODO	Samoan simpleton?
AHAS	Recognition responses
GALEN	Physician to Marcus Aurelius
GASPS	Shows shock
OPART	Bridget Riley's genre
ARNO	Physics Nobelist Penzias
CARDSHARP	One with unusually fine hands?
DOLE	Lott's predecessor
APE	Goon
BIC	Lighter producer
MIMEO	Outmoded copier
MSG	Chinese menu letters
ALAI	Trans ___ (Asian range)
SALTED	Like some nuts
TOO	Besides
ERG	Unit of energy
DYE	Turn red, perhaps
LEA	Hertfordshire river
SEPAL	Calyx segment
SECS	Jiffs
PRIORY	Dominican's dwelling
ERN	Southwest extension
GRADE	See 90-Across
NEH	Book before Esth.
STOOGE	Line feeder, of a sort
