WHEREWASI	Words after a digression
WRIST	Slap target, sometimes
HANOI	Where John McCain was shot down
EDDIE	Plank on a pitcher's mound
RIOT	Laughfest
EON	Long stretch
WHETTED	Like some appetites
AESOP	The Greek poet Babrius versified his stories
SAIL	Fly (through)
IDALUPINO	Humphrey Bogart's "High Sierra" co-star
OBIT	End piece?
OTHO	First Holy Roman emperor
BEETHOVEN	He wrote to his "Immortal Beloved"
INTHENEWS	Talked about
TOASTERS	Browning pieces?
RADIOHEAD	2001 Grammy-winning band for the album "Kid A"
STENO	Court figure
STORY	See 27-Across
INDONESIA	Its flag is a red stripe over a white stripe
THETA	Angle measurement symbol
SOIT	"___ goes"
TOLLBOOTHS	Collectors' locales
BART	"Oliver!" composer
TIE	Reason to prolong play
STP	Dura Lube alternative
SPAD	W.W. I plane
UAR	1958-71 political inits.
HET	Excited, with "up"
OPE	Expose, to poets
OLIN	"Thirtysomething" actor
SPRY	Hardly heavy-footed
SOROS	"The Alchemy of Finance" author George
ONE	With 15-Down, low
MALADROIT	Bungling
MENAGERIE	Certain exhibition
ALOTALIKE	Much the same
RUMPROAST	Butcher's offering
AVER	Maintain
ATEN	Rate ___ (be perfect)
GELID	Shiver-inducing
GARAMOND	Popular typeface
URN	Mantel piece
STEWS	Simmers
SHAG	1970's hairdo
ANON	Al-___
SMOOTHENS	Works with a plane
SUET	Cooking fat
TINTYPE	Photo in an old album
RAT	Bewhiskered trash collector
SUPS	Banquets
SPANS	Goes over
IAN	Publisher Ballantine
AGA	Near Eastern honorific
PER	For one
ENG	Coll. major
ESSEX	Robert Devereux's earldom
CAT	38-Across catcher
CLAIM	Something staked
AANDP	Food chain?
TVSET	Image maker
MELBATOAST	It's named after an opera star
BOER	___ War
ASTA	Film role played by Skippy
OLAV	Novelist Duun
OISE	It rises in the Ardennes
ORION	Artemis slew him
ASSYRIANS	Semiramis's subjects
RAX	Stretch out, in Scotland
NIKES	Some sneaks
STEPASIDE	"Let me show you how it's done"
DEER	Big game
TAXEXEMPT	Like some municipal bonds
