WADS	Bankrolls
WHISKER	Narrow margin of victory
AIRLINE	Carrier
DREAMON	"Get real!"
SEATO	Former defense collective
OKRA	Gumbo vegetable
OWL	Bird of prey
KEYS	Ivories and others
RIDE	Get carried away?
ARIES	One born on April 1
CORPS	Military group
CON	Debate side
OPTS	Chooses
RESOUND	Echo
PRAISED	Exalted
SAYLES	"Lone Star" director John
HIRE	Take on
WEIR	"Gallipoli" director
OPERA	Mozart offering
IREALLYDIDNTSAY	Start of a quote by 39-Across
LENA	Singer Horne
DRAB	Colorless
SLATE	Old schoolhouse item
SEER	Nostradamus, e.g.
SOIL	Where the worm turns
KIMONO	Geisha's garment
OLEG	Designer Cassini
SAG	Droop
GARR	Actress with a "Tootsie" role
USE	Function
ENO	Record producer Brian
ALSO	___-ran
SAIL	Spinnaker or jib
ORBIT	Satellite's path
BARNES	Noble's partner
REAR	Bring up
REND	Tear asunder
DYAN	Actress Cannon
EARP	Tombstone lawman
PETE	Gov. Wilson
REDD	Comedian Foxx
YOGIBERRA	See 17-Across
ORGY	Bacchanalian event
RAND	Money in Johannesburg
AJAR	Open a bit
ARRIVAL	Advent
JAYLENO	He's on "Tonight" tonight
LITA	Rock music's Ford
RAMS	Trans World Dome team
ANOMALY	Irregularity
MALAISE	Lethargic feeling
SPENDER	Not a saver
ORANGE	Like a harvest moon
OFFERS	Auction bids
EAST	Daybreak direction
TENK	Popular race
KIWI	New Zealander
NAP	The pause that refreshes?
FRY	Fish cookout
YAM	Sweet potato
MAHER	"Politically Incorrect" host Bill
DIPOLE	Radio antenna
POSED	Sat (for)
FILE	Folder's locale
ERGO	Proof word
SARA	Gilbert of "Roseanne"
RILE	Provoke
ANKA	"Lonely Boy" singer
WOMAN	John Lennon hit
EVERYTHINGISAID	End of the quote
YEP	Slangy affirmative
GOD	The Eternal
RANGE	Where the buffalo roam
ELKO	Town in Nevada
ELSE	Otherwise
SLOOP	Single-masted vessel
READ	Audition for a part
DYER	Textile worker
