EPSOM	England's ___ Downs
ELSE	Otherwise
PAWN	One on the way to a promotion?
SUET	Bird feeder food
ODER	River to the Baltic
METER	Olympics measure
GLEN	Secluded vale
GHETTO	Area needing urban renewal
LEA	Meadow
ERRS	Misses the mark
NOTA	___ care in the world
KANT	German philosopher Immanuel
KANSAS	Topeka's home
ALIAS	Spy's name, possibly
NONCE	Time being
TEAKS	Shipbuilding woods
LAUDE	Summa cum ___
HERO	Lifesaver, say
ALOE	Hand cream ingredient
SWEETHEART	Tootsie
HAIL	Salute with enthusiasm
NINA	One of Columbus's ships
ENTREAT	Implore
SADSACK	Pathetically inept person
DORSET	English county known for sheep
RITE	Baptism, e.g.
EASTERN	"We earn our wings every day" airline
OASES	Places for camels to drink
HALF	Two quarters
HOSE	Fire truck attachment
ACTS	Book after John
LAVE	Wash
FLA	Neighbor of Ga.
LOAFERS	Kick-around shoes
FRI	Thurs. follower
EON	Long, long time
OCALA	Florida city
ALLOTS	Apportions
SROS	Sellout shows, for short
ELL	Building wing
EDYS	Ice cream brand
LAMP	Den light
LYES	Caustic materials
STVALENTINESDAY	Occasion for roses
EAR	Order of corn
NNE	SSW's opposite
SRA	Mme., in Spain
ESE	Suffix with Canton
LANE	Country way
TRYME	Sign by a free sample
TOREROS	Bullfighters
TODATE	Until now
OCELOT	Cousin of a leopard
SANE	Playing with a full deck
ASPS	Nile vipers
AFOOT	Underway
AMASS	Stockpile
FILLY	Colt's counterpart
ONION	Burger topper
NCAA	March tourney sponsor
AFTRA	Media workers' union
MINDSET	Way of thinking
EBON	Black
TILE	Easy-to-clean floor
ENFORCE	Compel obedience to
ODOR	Scent
ROUT	Win in a runaway
CUTE	Baby-faced
EXES	Partners who called it quits
ALIA	Inter ___
BILLETDOUX	Love note
LES	"___ Misérables"
SLOT	Space on a schedule
OLEO	Margarine
ROUTE	Delivery person's path
SYNE	"Auld Lang ___"
NEST	Insect's home
ARTES	Comic Johnson and others
