LIMO	Prom night transportation
LEGO	Plastic block brand
ICON	Pic you can click
MOOT	Not worth debating, as a point
OLDHABITS	Things that die hard
PAAR	Jack who once hosted "The Tonight Show"
POISED	Self-confident, as a pageant contestant
ANGLE	Journalistic slant
ACHY	Sore all over
RET	Like Gen. Colin Powell: Abbr.
INCUR	Bring upon oneself
ISSUES	Topics of debate
NOLTE	Nick of "48 HRS."
CUE	Pool player's stick
USE	Take advantage of
REP	Dem.'s opponent
ECOL	"Green" sci.
ONCE	"___ upon a time ..."
SOUSE	Drunkard
GOODNIGHTSSLEEP	Seven or eight hours, typically
NEGATE	Make null and void
STRIPS	Prepares to streak
ONTHESLY	Furtively
TUT	When repeated, sound of disapproval
AGEE	James who wrote "A Death in the Family"
PREEMIE	Early delivery in the delivery room
PRIUS	Fuel-efficient Toyota
MOURNS	Expresses great sorrow
ICEAGE	Freezing period
ETYPES	Classic Jaguars
NOTBAD	"Hey, way to go!"
NOBUTS	"Forget the excuses!"
OREIDA	Frozen potato brand
TBTEST	Diagnostic that entails sticking the forearm with a needle
KRIS	Kristofferson of music
KNOLL	Small, rounded hill
OCT	Columbus Day mo.
ORBIT	Moon's path
SNIP	Salon sound
SMILE	"Say cheese!"
SUEY	Chop ___
STARTURNS	Bravura performances
BETTERMOUSETRAP	Inventor's goal
ROOMIE	Dormmate
EROTIC	X-rated
UIES	180-degree turns, in slang
OILS	Removes a squeak from
RANGE	Where 43-Across run free
TDS	Super Bowl stats
LOLL	Do nothing and like it
LOWKEY	Hardly ostentatious
HORSES	Mustangs, e.g.
HONEST	"Really and truly"
SATHOME	Did nothing
HDTVS	Modern viewing options, for short
MOTT	Rock's ___ the Hoople
MESAS	Flat-topped Southwestern hills
DWI	Drunk motorist's offense, briefly
GENIUSES	Brainy bunch
GTOS	Old Pontiac muscle cars
SEEK	Hide-and-___
ETUI	Decorative needle case
SSTS	Former fast fliers
BESTKEPTSECRETS	They rarely see the light of day
BOT	Automaton, for short
ELI	Yeller in the Yale Bowl
SIP	Not guzzle
PDA	BlackBerry or iPhone, briefly
OLIVE	Martini garnish
DOAS	"___ I say, not ..."
NEUT	Neither fem. nor masc.
TIPSY	A little drunk
ASST	Igor, to Dr. Frankenstein: Abbr.
SKIS	Equipment at Vail
