LIST	Not stay fully upright
LIEGES	Subjects studied by medieval scholars?
INDEEP	Seriously committed
SCURRY	Rush
TACTIC	Part of a war plan
LOTUS	Flower in Chinese embroidery
LULU	Berg opera
ONED	Linear
TIME	It may be on your side
UFOS	They're involved in some reported abductions
SYNTAX	Twisted this clue's is
DCCI	Year the Chinese poet Li Po was born
DRAINERS	Sink accessories
CORNELIA	Wife of Julius Caesar
CUT	Rib or short loin
ITS	"___ alive!"
INCA	People conquered by the Spanish
UNIFY	Fuse
ROUT	10 to 1, e.g.
EDUC	Cabinet dept.
LEMONTARTS	Tangy teatime treats
TEE	Informal top
GERTRUDESTEIN	Pittsburgh-born poet who was the subject of a Picasso portrait
REAGAN	Subject of the 1999 best seller "Dutch"
EERIE	Like some coincidences
AENEAS	Virgil hero
AMBR	Writer Bierce
SSE	157.5 degrees from N
SPYCAM	Surveillance device
MOR	Gloomy
WAX	Denture maker's need
WASAT	Attended
ADAM	Smith of note
ELMS	Raw materials for shipbuilding
GOBAD	Spoil
BICS	Inexpensive pens
BRIBE	Payola, e.g.
BISONS	Buffalo's Triple-A baseball team
RISARISARISAR	Famous quote by 20-Across
RRED	Snow White's sister
IMNOFOOL	"Don't play me for a dummy"
SETTLEIN	Get comfy
RUP	Was revolting
PRMEN	Spinners?
PSI	Wave function symbol in physics
CAMUS	Who wrote "Can one be a saint if God does not exist?"
SENT	Let fly
DST	"Spring ahead" hrs.
DOREMI	Cabbage
POTPIE	Baked comfort food
TOPHAT	Tails partner
POLISH	Like Chopin
INALIE	Embarrassing way to be caught
EEYORE	Character in "Piglet's Big Movie," 2003
IDOTOO	"Likewise"
OOF	Response to a stomach punch
NOONE	"___ will ever guess!"
FLORALDISPLAY	Colorful decoration hinted at by 34-Across
ATAD	Slightly
LIRE	Money replaced by the euro
DSCS	Mil. awards
IHIT	"___ the jackpot!"
SHOEFETISH	Carrie Bradshaw had one in "Sex and the City"
SAK	Bag, in brand names
HMO	Med. group
HILO	Kind of poker
AMOI	Mine, to Manet
MARCI	"___ X" (2003 Lisa Kudrow film)
ASIR	Province of Saudi Arabia
KOLN	German cathedral city
IDEST	That is
THEE	"America" pronoun
