APERTURES	Camera openings
AVIS	Dollar competitor
PALP	Sensory appendage
ELLA	First name of the First Lady of Song
REAM	500 sheets
TNT	Blast producer
UTE	Colorado tribe
RIA	Narrow inlet
ENSUE	Come after
SEEP	Trickle (through)
SABOT	Wooden shoe
SCARING	Halloween activity
ALLAN	Edgar ___ Poe
BIFF	"Back to the Future" bully
OMIT	Not mention
TEES	Caddie's bagful
VALENTINE	Patron of the hearts?
CLIME	Weather of a region
ILLATEASE	Fidgety
ALFIE	"What's it all about, ___?"
SPAM	Too much of e-mail
UPDRAFTS	They lift kites
DYE	Tint
VASE	Bouquet holder
VIC	Trader ___ (restaurant eponym)
AAAS	Some batteries
SELECT	Grade of beef
YIN	Half of the tai chi symbol
ETALIAE	And other women: Lat.
EMMYS	Outstanding Miniseries and Outstanding Drama Series
TEPEE	Conical dwelling
ASANA	Yoga position
LSAT	Exam with sections known as "arguments," for short
EEN	Day's end, to a poet
ESTATE	Brideshead, for one
MAT	Grappling site
MARIA	Mrs. Arnold Schwarzenegger
ACING	Getting an A+ on
TENSE	Uptight
MESSCALLS	"Come and get it" signals in the Army
LAH	"Well,___-di-dah!"
GLACE	Candied, as fruits
LEAN	Meager
MPAA	Org. that approves trailers
SEATS	Is a maître d' for, say
SPED	Hightailed it
ERIN	Hibernia
YENTA	Busybody
ANNEXES	Extensions
CHAPLAINS	Service leaders in the service
LEE	Founding father Richard Henry ___
SEA	See 59-Down
NOT	"Ready or ___ ..."
OUT	No longer fashionable
TEENAGE	Like most promgoers
GNU	Wildebeest
GUILE	Slyness
CEDE	Grant
CELIA	Salsa singer Cruz
ALOUETTE	Song whose title is repeated before and after "gentille" in its first line
ALAS	"Lackaday!"
LEMA	Champagne Tony of golf
OOPS	"Well, that was stupid of me!"
TALL	Like most N.B.A. players
MUIR	John who wrote "My First Summer in the Sierra"
MESO	Prefix with -zoic
USSR	CCCP, in English
ITEM	Line-___ veto
ROSS	With 46-Across, Antarctic waters
LEOIX	Sainted 11th-century pope
ALLUDESTO	References
LON	Cambodia's ___ Nol
UND	"Tristan ___ Isolde"
DEF	3, on a telephone
AMPLE	Having plenty to spare
LIONESSES	Den mothers
SASES	Wedding invitation encls.
LANDFORMS	Geographical features ... or what the circled squares in this puzzle represent
