CRACKUP	Disintegration
CHITTER	Bird talk
REWRITE	Big revision
AMOUNTS	Check marks
CLUE	Lead
KILT	Traditional garb
UNDO	Ruin
PENTOTHAL	Hypnosis tool
GOESFAR	Succeeds
GIBED	Mocked
ONEL	Scott Turow title
ESTE	Alberto Azzo was a noted one
SCOTTS	___ Bluff National Monument
FANTAST	Visionary
ALIENEE	Property receiver, in court
RETRADE	Not keep in the bargain
HEMLINE	Level of modesty
INSCALE	Proportional
IWOULDNTBETONIT	"Don't be so sure"
THEMINDSEYE	Place for seeing without really seeing
TRUETOTHELETTER	Exactly correct
TIN	Part of the alloy britannia
OED	"The Professor and the Madman" topic, for short
TANA	Lake ___ (Blue Nile source)
ETTA	Singer James
ATT	Court fig.
ATM	It allows access to an acct.
ACRID	Like dogbane juice
SASSED	Offered fresh comments?
SEUSS	Children's doctor?
ALL	Dryden's "___ for Love"
REST	Unwind
CHISEL	Wood worker
STEADFAST	Single-minded
TEE	Starting-off place
TARANTULA	Hairy creature
ATE	Had something
APB	Possible start of a dragnet, in brief
CPR	Help for a broken heart: Abbr.
CLAIMED	Insisted on
PERCALE	White sale fabric
RETAKES	Extra expense for movies
TILDES	Marks in Spanish class
PSST	"Hey!"
SOLUBLE	Like fat in ether
STARLET	Up-and-comer
THREERS	Classic school group
LEERED	Didn't look well?
RENEGE	Fail to follow suit
SAS	Carrier to Kaliningrad
BOTH	This and that
ARTE	Pietà, e.g.
WED	Joined
WANTS	Consumer demand
LAR	Choreographer Lubovitch
ICANTSAYFORSURE	"Beats me"
TMAX	Kodak film brand
SINE	Trigonometry term
ODIE	Jon Arbuckle's dog
ROMA	Tomato type
SUPS	Banquets
MAKEMINEADOUBLE	Bar order
ELEGANT	Chic
SIMPLER	Like the old days, they say
DESEXES	Neuters
TEASETS	Services at four?
