DATE	Watch feature, perhaps
DITZ	Airhead
AGEE	Wordsmith/ illustrator Jon
TORTILLAS	Burrito wrappers
ERRAND	Gofer's job
BAYER	Anacin alternative
BUC	Tampa Bay player, for short
ASOF	Dating from
YELL	Cry out loud
ENDURE	Hang in there
ROCKIE	Coors Field player
APSO	Lhasa ___ (dog)
AMI	"What ___, chopped liver?"
PASSE	Out of fashion
SWEAR	Say "*&%@#!"
ORLY	French air hub
IGOR	Fictional hunchback
USENO	"___ hooks"
MAWR	Bryn ___ College
TERR	Virgin Isls., e.g.
COLDCHISEL	Metal-cutting tool
HENCE	From this moment on
ZETAS	Some sorority women
STEM	Iris part
FLUKE	Result of careful planning it's not
SAY	"Come to think of it ..."
INTO	Fascinated by
ONUS	Blame
RINGER	Good shot in quoits
GERI	Former Spice Girl Halliwell
GOLDENFLEECE	Jason's theft
GAPE	Stare open-mouthed
OWES	Has chits out
FLU	Fever cause
LEGIT	Absolutely fair
AWL	Leatherworker's tool
MULE	Uncooperative one
ERIES	Great Lakes tribesmen
INSINUATE	Suggest artfully
ERIC	Speed skater Heiden
SICK	Mentally twisted
PEAL	Burst of laughter
LADD	"Shane" star Alan
SUGAR	Darlin'
ASH	___ Lawn (James Monroe's home)
REEF	Natural barrier
INRI	Calvary inscription
ESSAY	English exam finale, often
YOURN	Backwoods possessive
ISEE	Words after "hmmm"
ETAS	LAX postings
SIC	Dog command
DOESTHETRICK	Works perfectly
ERASES	Wipes away
SOIREE	Evening do
RIOTER	Water cannon target
MADURO	Strong and dark, cigarwise
MOUSE	Point-and-click gadget
ABETS	Shills for, e.g.
FAIN	Gladly
SOB	Bawl
SQIN	Area meas.
RAIDS	Midnight fridge visits
DORA	"Dumb" comics girl
SOIL	Potting need
SOUSE	W. C. Fields persona
SITE	Webmaster's creation
ELAL	Airline to Tel Aviv
QUEENSROOK	Piece in the lower left corner of the board
EOS	Dawn goddess
KEY	One of 88 on an eighty-eight
TAIL	Lobster serving
ISTO	Ratio phrase
EERIE	Spine-tingling
ETTA	Sundance Kid's girlfriend ___ Place
NESS	Untouchable Eliot
SEALY	Serta rival
REEL	Not walk straight
