HEADS	Chairs
HAJJI	Pilgrim's title
EZRAS	College founder Cornell et al.
ATRIA	Places in the heart
DETAIL	Particular
SCOLARI	Hanks's "Bosom Buddies" co-star
VEX	Stump
VII	Clock numeral
EVEL	Stunt-doer Knievel
XANADU	Citizen Kane's estate
SWAT	Cuff
SHEBEARS	Cubs' supporters?
WEBDUBOIS	Co-founder of the N.A.A.C.P.
ABBA	"Fernando" singers
TESS	Hardy soul?
AZTEC	Nahuatl speaker
SIVA	One of the Hindu trinity
SKI	Polish name ending
HEBE	Daughter of Hera and Zeus
JRRTOLKIEN	Trilogy writer
LAHORE	Site of Pakistan's Shalimar gardens
EBBS	Goes back out
JAIALAI	Bettors bet on it
LAMBDAS	Wavelength symbols
MITT	Pitcher's target
ISAIAH	Second-longest Bible book
DIEU	"__ et mon droit" (motto of the British royalty)
LRON	Scientologist ___ Hubbard
NEXUS	Link
MUTABLE	Not set in stone
MECUM	Vade ___ (handbook)
LIMA	Ciudad de los Reyes
ESPY	Notice
ADJ	Descriptive wd.
APIG	Eat like ___
DONA	Lady of Spain
JEBSTUART	Battle of Bull Run general
IRENE	Holmes friend Adler
NAT	Turner in history
TROIS	Number of mousquetaires
POEM	Field work
MILEAGES	Odometer readings
EXACT	Demand
TROPIC	Start of two Henry Miller titles
SIMP	Fool
INBIG	"You're ___ trouble!"
GENT	Chap
UTURN	It'll take you back
NOUGHTS	Ciphers
SAY	For instance
GASLESS	Without anesthesia, as surgery
SKIFFS	Small boats
MOOD	It may be imperative
DREWON	Made use of
TENK	Certain race, informally
PURISM	Stickler's creed
IRAQI	Dinar earner
SIRUP	Cough remedy: Var.
MAZES	Challenges for rats
AQUATIC	Water-related
ASTO	Concerning
QTIP	Wax attacker
CALI	Infamous Colombian city
NIGERIA	Its capital is Abuja
NSW	Queensland neighbor: Abbr.
STAG	Party animal?
FAOSCHWARZ	Noted "toycoon"
OOP	Alley ___
TIRE	Saturn revolver
FLOW	Course
TOQUE	Chef's hat
OPTS	Picks one
SIP	Nurse
SNIPS	Barbershop sounds
