STARSHIP	Sci-fi carrier
SST	Air France flier until '03
TEE	Ball-bearing item
AMA	Health standards org. since 1847
ROC	Sindbad hid behind its egg
SLAKING	Thirst-relieving
HIDEHO	Cab Calloway's signature line
INDIA	Frequent customer support locale nowadays
PAYTV	Cable for money
EMUS	Birds with green eggs
ELF	Little green man
MORAYS	Lamprey relatives
USENET	Online newsgroup system
STENS	Old British guns
GROOVED	Like a record
GLOMONTO	Seize, slangily
REY	El ___ (title for Juan Carlos)
OOP	Alley ___
ONAROLL	Hot, in Vegas
VIRTU	Art appreciation
ENTS	Middle-earth beings
DEY	TV actress Susan
SEMOLINA	Pasta ingredient
LOST	At sea
LEONINE	Strong and proud
TEACADDY	Brewer's container
FREESOYPARTY	Saucy political group of the 1840's and 50's?
SUFI	Muslim mystic
KEITH	Jazz pianist Jarrett
HENNAS	Reddish hair dyes
ANNUM	Per ___ (how budgets may be planned)
RTS	Some football linemen: Abbr.
AIOLIHAVEEYESFORYOU	Classic saucy love song?
AROMA	Cook's drawer
IOWAN	Ann Landers was one
OMITS	Drops
LANE	Word with turning or memory
EEGS	Head lines, for short?
ROOK	Man in a corner
YIPE	"Gosh!"
ROMANO	Sharp cheese
NEST	Cheep accommodations?
INOIL	How anchovies are packed
OWING	Due
HANG	Be undecided
HAZARD	Thin ice, e.g.
ABE	Copper head?
TOPLESS	Without a shirt
ENNUI	The blahs
SOLES	Foot pads
STYLE	Do
MATE	Pal
TABASCOSMOKE	Saucy health threat, according to the surgeon general?
TOGO	Restaurant option
COWHERD	One who's brand-conscious
ORION	Pleiades pursuer
SELL	Hawk
MOLL	Fictional Flanders
NOT	"___ interested"
ANS	Choice on a multiple-choice test: Abbr.
DOZES	Nods
DAFT	Ditzy
OREO	Modern ice cream flavor
ONLY	Unique
ORAL	Uttered
GAGA	Carried away
GERT	What Hamlet never called his mom
SWILLS	Gulps down
SEDAN	DeVille or Bonneville
SABERS	They may get rattled
GRUEL	Sustenance for Oliver Twist
GDAY	___ : hello :: hooroo : goodbye
HOMEFORTHEHOLLANDAISE	Saucy yuletide plan?
HAVOC	Ruination
OPERA	Bizet work
MANET	"The Fife Player" painter
TECH	Part of M.I.T.: Abbr.
HAHA	"That's hysterical!"
NARY	___ a one
APART	Spaced out?
DEADEN	Muffle
BAAL	Whom Jezebel worshiped
VENT	Rant and rave
CHAR	Dover domestic
QUERY	Ask (about)
QUESTS	Knightly pursuits
URN	Cemetery sight
MAD	Ranting and raving
MIXIN	Add to, then stir
AMEND	Alter
DINGS	Makes an impression?
ORE	It may be found in a pocket
CASHANDCURRY	Saucy payment system?
CHER	"Bang Bang" singer, 1966
AIDE	"West Wing" extra
STATETAX	School supporter
CHAS	Cartoonist Addams
JIMI	Guitarist Hendrix
JIVE	Baloney
CATCHIT	Get scolded
CREATES	Whips up
HENS	Chicks follow them
VIXEN	Prancer's partner
VAINEST	Most apt to preen
REDAS	___ a beet
SHEA	View from New York's Grand Central Parkway
SRAS	Mmes. of Madrid
SPITES	Is venomous to
REEARN	Merit twice
PAVING	Driveway surface
PROVES	Bears out
WERETHEPESTOFRIENDS	Had a saucy relationship?
WEEDS	Their virtues "have not yet been discovered," wrote Emerson
ERRIS	"To ___ human …"
OOMPH	Get-up-and-go
FLORA	Plant life
LEA	Where clover grows
LEDA	Yeats's "___ and the Swan"
EERIE	Ghostlike
SOLON	One of the Seven Wise Men of ancient Greece
TEETERTARTAR	Saucy playground apparatus?
TAB	Text pusher
ENS	Pulver's rank in "Mister Roberts": Abbr.
RDA	Amt. usually shown in grams
RES	Hi-___ monitor
MOVEAWAY	Go off
ASI	"___ always say …"
WON	Wooed very well
ANG	Director Lee
YES	"Absolutely!"
ADDENDA	Riders
IERE	"Able was ___ …"
PRESSONE	Phone-answering instruction
BASSSAX	Low wind instrument
SSNS	ID's sought in phishing
HASTINGS	Where William the Conqueror conquered
