CASS	Sinclair Lewis's ___ Timberlane
CERF	Old "What's My Line?" panelist
ARIA	Cantatrice's offering
SACROSANCT	Beyond criticism
STAMPACT	Quickly repealed statute
IMPS	Bad tads
IMPEDE	Block
MIRA	Red giant in Cetus
PROMISE	Indication of future success
SOP	Conciliatory gesture
FAWNS	Forest issue
FIGUREEIGHTS	Graceful loops
ADAGES	Gnomes
WING	Prayer partner?
NODE	Orbital point
STAR	Play a big part
ERAT	"___ Hora" (Ezra Pound poem)
MIRO	"Dutch Interior" painter
IDIOT	Dull type
RICA	Wealthy, as a dueña
PROPAGANDA	Lies, perhaps
AMELIA	1751 Henry Fielding novel
FARMTEAM	Sports affiliate
TECHNICALITY	Specialist's point
MUGGER	Ham
OPED	Kind of column
ISERE	The Arc feeds it
SANDY	Light-colored
ALSACE	Region between the Vosges and the Rhine
ALVIN	Sgt. York
LEINE	Hanover's river
SALESREP	Career pitcher
RHINESTONE	Cheap substitute, of sorts
EBERT	1975 Pulitzer-winning critic
POSES	Puts forward
LEACH	Lixiviate
GENIE	One bottled up
GROPE	Get a feel for things?
HBO	TV debut of 1972
VINTNER	Red distributor, say
EVADES	Shakes
DAIRIES	Grocery store suppliers
REEMERGE	Make a comeback
INC	Abbr. in the Yellow Pages
IVORY	Composition of some towers
REDFLAG	Mark for a particular purpose
GENRE	Kind
NETSCAPE	High-tech company with a landmark 1995 I.P.O.
SWALES	Moist lowlands
SHEETS	Some are fit for a king
SALTER	One who might get a pinch
WADED	Walked from one bank to another
ATMS	Balance providers
TAMALE	Steamed dish
TEEM	Be prolific
ANGE	Parisian protector
MGRS	Some hirers: Abbr.
FALSETTO	Certain doo-wopper
AIRE	Ending with some very large numbers
TOUR	Museum offering
OSSO	Benito's bone
ENGLISHLIT	Norton Anthology focus, for short
HRE	Its spiritual head was the pope: Abbr.
ROOS	Outback critters
EGRET	Fen resident
RARE	"Suddenly, as ___ things will, it vanished": E. B. Browning
GNUS	White-bearded Africans
MESSY	Hard to settle
EGER	Hungarian city near Miskolc
EERO	Innovative furniture designer Aarnio
