FLAME	Olympic stadium centerpiece
FROM	Gift tag word
LOVE	All you need, according to the Beatles
AYES	"Up" votes
MARADONA	Argentine soccer star of the 1980's-90's
ELM	Nightmarish street
SABE	Kemo ___ (the Lone Ranger)
SANITY	Reasonableness
ALTOS	Some choristers
BAHT	Thai currency
ESS	Half a figure eight
ORGS	Assns.
OTOOLE	Peter of "Lawrence of Arabia"
REMAINEVEN	Stay tied
GLENN	Former astronaut/senator
SENSE	Reasonableness
ROYAL	Kind of treatment
ALAS	Word of woe
TELE	Prefix with graph
OVERMONTHS	In the course of many weeks
ORCHESTRA	Theater seating choice
OMEN	Sign from above
MESA	Tijuana table
RIOT	Laugh-a-minute type
JOANS	Lunden and Crawford
JOKE	It's best when cracked
DUCTS	Water conduits
UPC	Scanner's scan, for short
MOLINE	Illinois city
MAKEAWISH	Comment around a birthday cake
ATROPHY	Weaken from disuse
ASAP	P.D.Q.
TENS	Gymnasts' coups
RADIOWAVES	Broadcast signal carriers
TAKEN	Spoken for
TUT	Egypt's "boy king"
SEANCE	Event where people hold hands
CUKE	Salad veggie
CAN	Optimist's word
EMU	Ypsilanti sch.
MIRE	Muck
USED	Car category
ANDA	Wing ___ prayer
STATE	Name hidden in 17- and 56-Across and 11- and 28-Down
TEE	Pipe joint
AVIS	Hertz competitor
APOSTLES	Followers
PSI	Letter after chi
VTEN	Powerful auto engine
VANE	Barn topper
AMPERE	French physicist after whom an electric unit is named
MOT	Clever comment
OHARE	Midway alternative
HIKERS	Some park users
SWOONED	Was weak in the knees
SUBARU	Maker of the Forester
EDWINA	British author ___ Currie
EDGAR	Business exec Bronfman
DRACO	Constellation near Ursa Major
QUITS	Throws in the towel
QATAR	Gulf state
DRAKE	Sir Francis who circumnavigated the globe
CABS	Where truckers sit
CUBE	27, to 3
TACO	Snack with a shell
ADES	Summer drinks
CODE	Secret message
ONYX	Stone used for chess sets
GAVE	Said uncle
PUTAHOLDON	Reserve
PIP	Domino spot
ORE	Valuable rock
ACER	Tennis serving whiz
IBAR	Building girder
REEDY	Thin
ROSS	Politico Perot
PERU	Land north of Chile
ESSEX	Chelmsford's county
