MIGRATE	Change places
MEATHEAD	Nitwit
INCREASE	Swell
GREYAREA	It's open to interpretation
ROTORS	Chopper parts
ABOUT	Moving around
TENT	Netting site
ESE	Suffix with computer
PRIMACY	First state?
PROPERNOUNS	Uncommon things in language
RUBES	Country cousins
IBEX	Wild goat
MER	Étoile de ___ (starfish, to Cousteau)
ALLEYS	Roads less traveled
CLIENT	With 26-Down, regular customers
YANKEE	Bluecoat
ENROBES	Covers up
RUBELLA	Red rash cause
ACETONE	Polish remover
OBERLIN	College that pioneered in coeducation
TRYOUT	Use experimentally
APEX	Crown
AERODROME	Landing field
EEK	Cartoon cry
HEART	Soul mate?
LEES	Wine vat waste
LUNARMONTHS	Periods of revolution?
DYNE	Newton fraction
DAWN	It begins as a crack
EARS	Marc Antony request
BURR	Gore Vidal biographical novel
BASE	See 13-Down
PASTE	Clobber
PARE	Downsize
ASE	Nasdaq cousin
CANONLAW	It's promulgated by the pope
CAVE	Kind of art
LOLA	Notorious mistress Montez
DEADASADOORNAIL	Completely out
DOZE	Not be alert
AIRSPACE	Flying zone
IDOLATER	Violator of the second Commandment
LIFELESS	Lacking zip
OVERRULE	Veto
IDI	A mean Amin
PRIZE	Cherish
PHASES	Things to go through
REDEYE	It departs late at night
IRONED	Completely smooth, now
MONA	Political columnist Charen
PROF	"Teach" at a college
PINING	Echo's activity
HERE	Not missing, in a way
MOMS	May day honorees?
MOUSE	Squeaker
LISLE	Hosiery material
LEDIN	Shown to one's seat
ADO	Rumpus
GONE	Sold out
GOAT	Begin enthusiastically
PENPAL	Friend who keeps you posted?
PERU	Where the Ucayali begins
SENTOUT	Issued
TWA	"The things we do to make you happy" sloganeer
MEDIATE	Umpire
MPH	Dash abbr.
EYEWASH	Balderdash
PRINCES	Royal issue
SEDATES	Does some composing
HUNGERS	Yearns
