ALCAPP	Creator of Stupefyin' Jones
ALSO	Therewithal
LEER	Satyric expression
CAEN	Columnist who wrote "Baghdad by the Bay"
AVIONICS	High-tech navigation systems
PENTUP	Kept inside
PIG	Source of blood for blood pudding
STALWART	Firm
STYLETS	Nematodes' piercing mouthparts
TOES	Drives obliquely
ABS	Some are sculpted
LEI	Strung souvenir
WANTIN	Wish to join
AVGS	N.Y.S.E. nos.
RELO	It may accompany a promotion, briefly
TRES	Lithium's número atómico
LEAVEITTOBEAVER	This and Sputnik 1 were launched on the same day
TEES	Some plumbing joints
SEEINGEYESINGLE	Soft ground ball that finds its way between infielders
ORNOT	"... but things could change"
ELS	High ways?
TSOS	Chinese menu word
NURSE	Sticker by a hospital bed?
RELIANT	Hanging (on)
CCI	Year the emperor Decius was born
CORONET	Peer's topper
CUSP	Astrological gray area
GRIPE	Many a letter to the editor
GRATE	Rankle
ROUEN	Edward IV's birthplace
TROUNCED	Mopped the floor with
REPO	Certain seizure
CHUGS	Downs without a break
EMILE	Rousseau novel subtitled "On Education"
DOZY	On the way out?
CROC	Killer ___ (green-skinned "Batman" villain)
CCUP	Bikini spec
LASERS	Engraving tools
ACDC	Kind of converter
HMO	Coverage provider, for short
CAUSTIC	Acid
THAI	Resident near the Isthmus of Kra
POPQUIZ	Classroom groan elicitor
QUIXOTIC	Not at all practical
UTE	Rice-Eccles Stadium athlete
HADRON	Subatomic particle in a collider
RELAPSE	Turn for the worse
UGLY	Hard to watch
PENZANCE	Cornwall resort port
ZLOTYS	Poles work for them
ELISE	Kimberly of "John Q"
LENAPE	The Delaware Prophet's tribe
LIT	Stiff
LATEX	Swim cap material
AHOY	Main call
ASTO	On
AMID	Within
SETI	Space-scanning proj.
TASS	Info source for 58-Down
HAH	"In your face!"
HDTV	Cutting-edge set
NOCKS	Prepares to shoot, as an arrow
CODA	End notes?
KEEN	Itching (to)
SSRS	Red grp.
MEATANDPOTATOES	Nitty-gritty
ABO	Typing letters?
NIL	Next to ___
TSP	Shortening in recipes
ITSYBITSYSPIDER	Determined one in a kid's song
DISSOLVE	Film editing technique
PECANS	Ice cream shop supply
