BESTS	Trumps
BASER	More lowdown
ESTEE	Woman's name that sounds like two consecutive French letters
SCALP	Sell outside the stadium
TON	Great deal
STD	Regular: Abbr.
JAMB	Frame part
JAPAN	Modern name for old Cipango
APSE	Place for icons
METS	Queens subject?
BRR	"It's a cold one!"
SEND	Thrill
SHIRE	Bilbo's home
EUGENE	City NW of Crater Lake
NEHI	Old pop
DST	Reason to reset the clocks: Abbr.
TOILS	Slaves
TURNTHEOTHERCHEEK	Dear old dad the cosmetic surgeon always told me to ___
OPHIR	Wealthy biblical land
ILOVEIT	"Fantastic!"
LINEAGE	Extraction
STELLAR	Out of this world
ASCOT	Ring around the collar?
APER	Copycat
HUES	Tones
UPLIT	Like some monuments at night
STANDUPSTRAIGHT	Dear old dad the comedic foil always told me to ___
UNARM	Pacify
ADDSTO	Supplements
RHONE	Châteauneuf-du-Pape locale
EEL	This may shock you
NAES	Scottish turndowns
DREI	German crowd?
SNIVEL	Whine
SECTOR	Pie chart part
REPOMAN	Tower, often
OMAN	A sultanate
MINDMYOWNBUSINESS	Dear old dad the C.E.O. always told me to ___
EDEN	The first place
EDAMS	Coated Dutch exports
GETREAL	"Quit dreaming"
GON	Geometry suffix
MIR	Peace, in Russia
ANDS	Common connections
APNEA	Problem in bed
NLERS	Braves, but not Indians, briefly
EPOCH	Period
PASSE	Out
IGA	Supermarket chain with the slogan "Hometown Proud"
CLEANMYPLATE	Dear old dad the umpire always told me to ___
CENTRAL	Prime
LLANERO	South American cowboy
EASTERS	Hunting times, for kids
YANGTZE	Three Gorges Dam site
ENDOW	Fund, as a museum
ANTEATER	Termite clearer?
AFRIC	From south of the Mediterranean
ELAND	Oxlike antelope
ANEMONES	Windflowers
EEK	Cry at the sight of 107-Down
OOF	[That punch hurt!]
NAS	Brooklyn-born rapper
MINERS	The Seven Dwarfs, by profession
IOU	Marker
DESERTROSE	Tropical ornamental
ELECTRO	Spider-Man foe
ONTHEGO	Busy
SNEERER	Lip curler
EYEBANK	Aid for the blind
TNT	Blaster
YOGAS	Hatha and others
YOKEL	Hick
YES	Thumbs-up
HINNY	Horse/donkey cross
REELOUT	Extend, as a line
LOAND	___ behold
SEW	Clinch, with "up"
SOSAD	"'Tis a pity"
ELECTEE	In
LEI	Island chain
ARROW	Traffic director
ZEROS	W.W. II aircraft
ELENA	Alexander's wife in "Uncle Vanya"
REV	Gun on the street?
RACER	One making a pit stop, maybe
RUBYS	Keeler and Dee
ALOHA	Hello or goodbye
HEB	New Test. book
LOSANGELES	Hollywood setting
GAPERS	Wowed ones
CULTIC	Like some sects
CAMAY	Procter & Gamble soap
ERA	Bygone polit. cause
NBA	The Maurice Podoloff Trophy is awarded to its M.V.P.
EVAGABOR	"Green Acres" co-star
GONEBY	Of yore
HAGEN	Tony winner Uta
AWOL	Baseless?
READUPON	Learn about through books
RESPECT	1967 #1 hit whose title is spelled out in the lyric
ELEANOR	Noted Roosevelt
ASARULE	Generally
ODE	Words of praise
DOMYHOMEWORK	Dear old dad the builder always told me to ___
MEANT	Was serious, with "it"
ELS	Commuting options
SEDAN	Impala, e.g.
NORTON	PC protection brand
NASA	Booster grp.?
EEO	Fairness-in-hiring abbr.
SEAFIRE	Marine bioluminescence
FERDE	___-lance
OBEY	Stay in line
BUMPS	Removes from the schedule
BAKLAVA	Honeyed pastry
BEHAR	Joy of daytime TV
ALIBI	Out
VEGAN	One with a strict diet
AWHIT	At all
PARENS	This clue has two of them (for short)
GRUB	Eats
GERE	People's 1999 Sexiest Man Alive
MOEN	Big name in faucets
MICE	See 51-Down
OGLE	Look like a creep
LEW	Wallace who wrote "Ben-Hur"
ENURE	Habituate
SETMYSIGHTSHIGH	Dear old dad the sharpshooter always taught me to ___
SPY	Person with intelligence
SUV	Yukon or Xterra
SDS	60's grp.
HUT	Word repeated before a hike
COLDS	They're easy to catch
PROP	Support, with "up"
UCLA	Jackie Robinson's alma mater
DUBAI	An emirate
TREES	Panda hangouts
YENS	Itches
VEER	Turn off
STINT	Economize
