BRAG	Crow
BLIMEY	"Holy cow!" overseas
REVISE	Fix a draft
AVERTS	Parries
GIG	Club date
MOLLS	They run in gangs
METIERS	Specialties
ORALS	Master's hurdle
LACE	Strengthen, in a way
LTR	P.O. item
SOURBALLS	Tart treats
ASKTO	Invite for
ASHES	They used to be hot stuff
SLOE	___-eyed
KAN	Home for Wyatt Earp: Abbr.
TIMELINE	History book inset
ONENOTE	Musically monotonous
AMEN	Grace period?
ALBOM	Mitch who wrote "Tuesdays With Morrie"
MYEYESADOREDME	Frankie Valli song for egotists
ENTERED	Logged
NEEDSTO	Must
LEVI	Stubbs of the Four Tops
ERATO	Muse whose name means "passionate"
SLAIN	Murdered
LYNE	"Fatal Attraction" director Adrian
IVEGOTACRUSHONME	Gershwin song for egotists
OPTIMISM	Characteristic of a bull
SHIRT	Jersey
BETE	"La Belle et la ___"
MIR	It crashed on 3/23/01
PILE	Carpet quality
RHEE	Korean president, 1948-60
ENJOYED	Ate up
JOE	Diner cupful
ESTATES	Subjects of appraisals
ASIF	"Yeah, right!"
RBIS	Diamond production?
ROLL	Class list
BLOOMERS	Bygone attire
BROIL	London ___
YESSIR	Military response
BOAR	Feature of an old-fashioned roast
BIOPIC	"Ali," e.g.
TRITE	Not fresh
TELLSOF	Relates
SET	Kind of point or theory
IMSTILLTHEONE	Shania Twain song for egotists
TBONES	Chophouse choices
HEAVE	Give a lift
SADO	Masochist's start
SOLED	Having a bottom
SCIFI	Video store section
SCARCE	Like capital letters in many E. E. Cummings poems
CAMEON	Found unexpectedly
ILIGHTUPMYLIFE	Debby Boone song for egotists
BOLL	Cotton capsule
ELIE	Veteran journalist ___ Abel
ZOD	Evil general in "Superman II"
ZAG	Go the other way
CAL	___ Tech
SLOP	Spill a little
LIBEL	Reputation ruiner
SHALL	"___ we?"
HESSE	1946 Literature Nobelist
SALOME	Wilde play
SLEPT	Was out
MINUET	Dance music
EASELS	Supporters of the arts
AMI	"___ dreaming?"
MINIM	Half note
MALLARD	Duck type
EVS	Tiny energy units, for short
ALGERIA	Setting for Camus's "The Plague"
AMORAL	Ethically neutral
REGS	Rules and ___
SEALY	Simmons rival
BECAUSEOFME	Tony Bennett song for egotists
UPONA	"Once ___ ..."
FLAMBE	On fire in the kitchen
DENS	Poker game locales
COHERES	Makes sense
RIM	Grand Canyon spot
LPS	Track sites
FLOPS	Turkeys
SEAMIEST	Most sordid
DUE	Directly
ENTAIL	Involve
ALOES	Plants in a Fugard title
ALBEE	"A Delicate Balance" playwright
SLEUTHING	Spade work
ARTE	Florentine painting, e.g.
MEL	Either of two Spice Girls
ULM	Einstein's hometown
ULAN	___ Bator
UMBRAGES	Resentments
LIMA	Baby ___ (tender vegetable)
IANS	Mathematician Stewart and others
ABETS	Conspires with
BEMA	Synagogue stage
ISPY	Cosby's first series
ISADORA	Dancer Duncan
SANIBEL	Florida island
EMBRACEABLEME	Another Gershwin song for egotists
EREMITE	Recluse
CRACK	Highly skilled
ESPOUSE	Speak for
SAM	2001 title role for Sean Penn
ORBED	Spherical
OHM	Bit of resistance
RUNE	Old character
SIMPLE	Modest
PREFER	Think best
LEGMEN	Gofers
EDGERS	Trimming tools
ANYWHERE	At all
WESTS	Authors Rebecca and Nathanael
BATS	Halloween decorations
BRAYS	Barnyard sounds
SPEARED	Like some olives
STOMP	Put one's foot down
DILEMMA	It may have horns
ARCH	Bridge part
ATTY	One who's practicing: Abbr.
OTOS	Platte River tribe
OKRA	Tapered pods
EGG	Bloke
OBIS	They may be tied up in Tokyo
IGETAKICKOUTOFME	Cole Porter song for egotists
ESP	Mind-reading, for short
COO	Sweet sound
OBE	Honor from Queen Eliz.
REFT	Torn (from), old-style
TESTY	Short, say
NORMS	They're expected
BEER	It has a head and hops
ALES	Saloon selections
ESPYS	Sports awards
GOAPE	Lose it
ERNS	Flying fish eaters
