AMOS	Biblical prophet
ALFRED	Arne's "The Masque of ___"
MORALE	It may need a boost
ONEDAY	Sometime
SEEIN	Greet at the door
ALBS	Clerical clothing
ASEA	Floating, perhaps
LADD	She played one of Charlie's Angels
BURSA	Anatomical sac
SLY	Canny
OPALS	They're mined in Virgin Valley
OFNOTE	Eminent
PAYPACKET	Money holder, in Britain
ARMYBRAT	Base kid
LEE	Linda ___, Supergirl's alias
SST	Mach-1 surpasser
LONE	Only
SAUL	Handel oratorio
FARES	Going rates?
FREEZEDRY	Prepare for consumption in space, maybe
ZODIAC	Signs up?
NYMET	Strawberry, once: Abbr.
RADIOADS	Spots that aren't seen
COPY	Backup
CATSCAN	Provider of inside information?
ELAND	Veld grazer
ABATABLE	Subject to reduction
BARIUM	Whitish metal
LOTS	A truckload
EWE	Yeanling producer
DEY	Old Tunisian title
IVE	"___ fallen ..."
VIKINGS	Longship crew
ELYSEE	Président's place
ATECROW	Accepted what one fought against
BAILORS	They deliver the goods
BIBLEBELT	Religious tract?
OWS	Hurt responses
KATE	"Please Don't Eat the Daisies" mother
STICKYWICKETS	British pickles
SLAW	Picnic dish
TOROIDAL	Doughnutlike
KNOCKS	Seeks an opening?
GLOB	Mayo serving
GMT	Clock std.
ISSUANT	Having only the forepart visible, in heraldry
MARLENE	"Lili ___" (1944 hit)
EDIBLE	Piece of food
MNO	Sequence associated with 6
GAB	Chinwag
GLAZER	Bakery gizmo
ALTERS	Takes in, say
BASSET	It has short legs and a long body
TWOEDGED	Like many swords
DMARK	100 pfennigs, briefly
CALLA	Member of the arum family
ARISE	Develop
IBIS	Ancient Egyptians held it sacred
MUSKRATS	Minks' prey
ULNA	Radius paralleler
SLOT	Opening for a mail carrier
SIDEB	Single choice
SAN	Gabriel, for one
ITO	Simpson trial judge
TALLSIZES	What many basketball players wear
TDS	Field goals?
ATALL	Under any circumstances
DRNO	Bond baddie
SERE	Parched
NOLTE	"I'll Do Anything" star
SKAT	It uses sevens through aces
ERST	Once, once
