EBON	Black, in poetry
EARS	Corn units
BLOC	Voting group
OSLO	Capital on a fjord
NOLO	___ contendere
EDNAS	Actress Best and others
ETHYL	Gas additive
DREDGE	Excavating machine
NANO	Prefix with second
ACCOSTED	Confronted
SEE	Call on
PLOT	"The ___ thickens"
POSTAGEDUE	Unwanted stamp on mail
LINER	Lid or lip application
OLIVE	Complexion tone
TYPED	Prepared a manuscript
ALSO	Besides
TRACE	Tiny bit
OILY	Greasy
ROLL	Food item served in a basket
HENCE	Therefore
SNIP	Barber's motion
SCOOBYDOO	Hanna-Barbera cartoon dog
BEAR	Stand
STEVE	Humorist Martin
SEN	One of 100 in D.C.
ELG	Taina who was one of Les Girls, 1957
SPEARED	Picked up, as an hors d'oeuvre
PIOUS	Religious
AROMA	Fragrance
ACED	Scored 100 on
RAVE	Rip-roaring success
OVER	Above
MORNINGDEW	Lawn moisture
EATING	Restaurant activity
ANNAN	Kofi of the U.N.
CAVORT	Prance about
THETA	Sorority letter
NEO	Prefix with classic
EDEN	Adam and Eve's place
DATE	Palm fruit
EYED	Viewed
NOSY	Prying
EVER	"... happily ___ after"
HINDU	Bombay believer
INUNDATE	Flood
DAYO	1957 Harry Belafonte hit
DERN	Bruce or Laura of Hollywood
ENA	Bambi's aunt
SAUTES	Fries with a little butter
ANTI	Opposed to
INTUNE	Properly pitched
NIA	Entertainer Peeples
ERRANT	Wandering
NEEDY	Indigent
IRANIAN	Persian, now
IVANS	Several Russian czars
ROMAN	Livy or Pliny
ALAMO	Movie with John Wayne as Davy Crockett, with "The"
RAT	Hamelin pest
ARIES	Astrological ram
VOLGA	Longest river of Europe
DERRINGDO	Heroic action
ELON	College in North Carolina
NATO	Defense org. since 1949
GRIP	Understanding
DIET	Go easy on the calories
ODDS	Bettor's figuring
AMAD	"Diary of ___ Housewife"
DALAI	___ Lama
DAD	Pop
ARID	Like the Sahara
NAME	Address preceder
ATONE	Observe Yom Kippur, e.g.
TIED	Even-steven
SNOW	Driving is hard when this is driving
DENTS	Fender flaws
OPTS	Makes a choice
