ULSTER	Heavy overcoat
UPSET	Surprise at the polls
LIENOR	Certain claimant
SCATTED	Beat it
TAMIAMI	___ Trail (Everglades highway)
ERICSON	Explorer from ca. A.D. 1000
ROSETTE	Floral ornament
LAPCAT	Pet that's likely to purr
LOUDENS	Crescendos
APPEASE	Play the peacemaker
PREPLOT	Plan in advance
CARTERS	Former first family
ATTARS	Perfume ingredients
TESTS	Lab work
PICAROS	Wandering rogues, as in Cervantes stories
STREETVENDORS	They're often found near busy intersections
TOPRATE	Tax max
TRADEEDITIONS	Bookstore books
SEAMIST	It hangs over the ocean
RUPERTS	Prince ___ Land (historical Canadian region that drains into Hudson Bay)
ENTICER	Movie preview, e.g.
ADEPTAT	Having a knack for
TOTASTE	One way of seasoning
DEALERS	Some card players
REMOTESENSORS	Earth-scanning satellites, e.g.
STETS	Keeps in print, in a way
DINETTESETS	Certain furniture ensembles
VED	Indian author ___ Mehta, a staff writer for The New Yorker for more than 30 years
HERMETICISM	Occult sciences, collectively
HARDISH	Not very cushiony
ERNESTO	Automaker Maserati
REALTER	Make further modifications to
MINCERS	Kitchen gizmos
CANNONS	Producers of major reports
INHERIT	Be willed
SCALAGE	Amount deducted from the price of goods to compensate for loss
MELANGE	Gallimaufry
RAREINSTANCES	Little-seen examples
RECOUP	Get back
SENDER	One going to the post office
FERNAND	Cubist Léger
FARCE	Ridiculous sham
INHALED	Ate quickly, slangily
DEARS	Kind souls
ACDELCO	Big name in auto parts
ONELANE	Not suitable for passing
ROISTER	Revel without restraint
NORANDA	Rouyn-___, city and county of Quebec
CUSTERS	___ Last Stand
SNIGGER	Small laugh
EPHORS	Ancient Spartan magistrates
STEERS	Has the wheel
