RITUAL	Confirmation, for one
ROMP	Walkover
INPUT	Concerns, criticisms, etc.
TEACH	Show
UECKER	"Mr. Belvedere" star
AYESHA	Mohammed's favorite wife
LES	French article
INTEL	Chip company
IMAS	"___ shocked as you..."
NATO	Security grp.
TRIFECTA	Big payoff bet
ECO	Prefix with hazard
LONNOL	70's leader with a palindromic name
ETH	Old verb ending
EPISODES	Stories-within-stories
TENAM	Coffee break time
HAPLITTERS	Pedants
UNCA	Donald, to Huey, Dewey or Louie
URI	Altdorf's canton
NEST	Cardinal point?
CEOS	Head honchos
ANNE	One of the Windsors
ONEEYE	Jack of hearts feature
MARCO	___ Island, Fla.
PEAGREEN	Olive cousin
GRECO	___-Roman
MPACESTATION	Russian technological achievement
TAJ	Atlantic City destination, with "the"
INPRISON	Locked away
PUCKS	They're often kept on ice
ASOF	Since
NOSALE	Change-making key
ONIT	"Step ___!"
TSE	Literary inits.
THEHAJ	1984 Uris novel
ATWAR	Battling
ECONOMICS	Financial considerations
CHOCOLATEECLA	Diet setbacks
SUNSHINE	Hawaii draw
RAT	Back-stabber
CICHLID	Spiny-rayed aquarium fish
CRAVATS	Artistes wear them
IMPERIAL	California's ___ Valley
TOUGHS	Gang members
GETAFAHAKE	Be treated satisfactorily
HAUNT	Trouble
STDS	Criteria: Abbr.
ELF	Present wrapper, maybe
EPOS	Oral poetry
LOFT	Use a 9-iron, say
FTFAMILIES	The Clintons, the Bushes, etc.
WARMTO	Start to like
AROCK	Drop like ___
TENT	It may be pitched
NEO	Start of many movement names
NEAT	In order
POT	Big belly
CARAPACE	Crab or turtle shell
CDROMS	They come with new computers
ENOLA	___ Gay
SEE	Date
STUD	Virile type
OFF	Slightly gamy
DROVE	Propelled
ONS	Come-___ (marketing ploys)
SALARIED	Like employees
ORPHANS	"Father Murphy" extras
PHONEY	Bogus: Var.
STARR	Clinton antagonist
ROLLEDIN	Casually showed up
CARTLOAD	Amount of a peddler's wares, perhaps
TENET	Article of faith
DENUDES	Lays bare
SHIFT	Tab neighbor
MOO	Call to a farmer
KTIEALLEY	"Cheers" co-star
YASIR	P.L.O.'s Arafat
ONA	___ lark
FILMS	Shoots
FALSE	Made-up
SOUVENTAND	Where to get postcards
SANTAANA	Seat of Orange County, Calif.
NEHRU	Prime Minister from 1947-64
ROAR	Fireball sound
ULNA	Carpus connector
FALLSON	Is left to, as a responsibility
FEUD	TV's "Family ___"
NNE	About 1 o'clock: Abbr.
LEE	Under the ___ (nautical term)
RUSSE	Banana ___ (desert)
STYLE	The way you do the things you do
AOL	"You've got mail" co.
ELIE	Peace Nobelist Ducommun
UND	___ so weiter (et cetera): Ger.
DEBILITY	Weakness
TEPIDITY	Lack of enthusiasm
PHARISEE	Ancient Jew
KAN	Kal ___ pet products
USED	Drew on
VEES	Winner's signs
SANA	Yemen's capital
CHEERY	Chipper
ERA	Brand at the laundromat
DESIRE	It's often burning
ROSSI	Martini's partner in winemaking
BALLADS	Light rock songs
LEGUME	Lentil, e.g.
LTD	Abbr. in many company names
THEWHO	Group whose rock opera was once performed at the Met
DARNER	Hole fixer
NONLINEAR	Inspired kind of thinking
LAKER	Magic, at one time
BEHAVE	Parent's demand
BAD	Dog reprimand
VISIT	Hospital event
ENTRE	Between: Fr.
ICE	Vanilla ___
INCH	Move slowly
CALI	Cartel city
EGAD	"My stars!"
STALAG	W.W. II camp
IAMA	"___ Union Woman" (old labor song)
ATTN	Envelope abbr.
MASS	Fathers may hold it
ERINS	Actress Gray and others
SASS	Lip
NAGASAKI	Site of an annual August 9th peace ceremony
ARE	"We ___ Family"
UPSTADOWNSTA	Classic BBC show
PED	Motorist's concern, for short
OTT	Baseball's Mel
CLARINET	Orchestra member
MEETS	Running competitions
THEIRS	D.C. org. dropped from this puzzle...or what much of your money is
HIDE	Fur
DRY	Unsweetened
EDENS	Heavenly abodes
TORTES	Rich cakes
