ROSEY	Grid great Grier
RAWEGG	Steak tartare need
OTELLO	1887 Verdi opera
SOSOON	"Already?"
ENT	M.D.'s specialty
YEPS	Slangy approvals
IPOS	New issuances, for short
INCASH	One way to pay
PEI	Kennedy Library architect
OAF	Palooka
SLICEUP	Divvy
OFT	Frequently
OSOLEMIO	Mario Lanza favorite
FOREWARN	Tip off
TBAR	Alpine transport
ATONE	Observe Yom Kippur
NEALE	Author Zora ___ Hurston
ECO	"The Name of the Rose" author
SOB	Break down
WESTPACIFIC	Disoriented 1949 musical?
AKITA	Curly-tailed dog
ORA	___ pro nobis
ELO	"Telephone Line" grp.
SKA	Music store section
COOLER	Place for brewskis
ORG	Dot follower
GLOP	Hardly five-star fare
POPE	The Swiss Guards guard him
ISERE	Grenoble's river
EYEHOLE	Mask feature
ROXY	Classic theater name
REW	VCR button: Abbr.
GONORTHYOUNGMAN	Disoriented advice, once?
RESOD	Do course work?
NOTIF	"___ I can help it!"
NEE	Society page word
PEA	Soup bit
EXPO	Really big show
IRE	Cork locale: Abbr.
DAWES	Coolidge's veep
DOE	Female goat
ALACARTE	Menu option
WASHROOM	Place to come clean?
SHY	Not making eye contact, say
SILO	Rural structure
TBONE	Delmonico alternative
BLOW	Totally botch
OLA	Plug extension?
OHIO	Where Canton is
HANSOLO	Harrison Ford role
OIL	Cruet filler
OSSEO	Bone: Prefix
EASTDALLASFORTY	Disoriented 1979 Nick Nolte movie?
TEN	British P.M.'s house number
ALPHAS	Top dogs
RANDOM	Like lotteries
TWEEZE	Pluck
YAWNED	Opened wide
CHE	"Evita" role
NOELS	Holiday numbers
WAWA	Muted effect
BARNES	Noble partner
BOOR	Insensitive sort
ESC	Emergency key
PEP	Vigor
PFFT	"All gone!"
NEW	Green, in a way
ORO	Treasure of the Sierra Madre
SOUTHOFEDEN	Disoriented Steinbeck novel?
UAW	Walter Reuther's org.
TRE	Due follower
ERI	"___ tu"
OTO	Platte River people
CLARA	"The Nutcracker" girl
FROZE	Got stage fright
REM	Dreamy state?
OWES	Has chits out
TIMED	Like tournament chess games
