GOTEAM	Pep rally shout
GAS	Oomph
OPA	W.W. II agcy.
TOYSTORY	Movie with the repeated line "To infinity, and beyond!"
ELITISM	Snobbery
ALTAR	Site of many kisses
MOAN	Sound from a dungeon
LETSAT	Sics on
LINEAL	Hereditary
EST	Around 1,000, e.g.: Abbr.
TIS	Word repeated in Emily Dickinson's "___ so much joy! ___ so much joy!"
SNOCATS	Winter vehicles with treads
ATOI	Yours, in Nemours
TOTS	Day care charges
SUREBET	More than a favorite
SONORA	State in the Sierra Madre
UNO	Game with Wild Draw Four cards
REWATERS	Runs the hose over again
EBOLI	Stopping place in a Carlo Levi title
BARDOTOFAVON	Sexiest bell ringer?
ESSENE	Ancient Jewish ascetic
TEENSY	Lilliputian
APOLLO	Program begun under Kennedy
ISINTO	Digs
ONEBASE	Single advancement
SAYITAINTSOOT	Plea made to a chimney sweep?
ICEL	Home of the world's northernmost capital: Abbr.
NOWORSE	Holding one's own
STANCE	Topic in a golf lesson
CISCO	Pancho's pal
COSELL	"I Never Played the Game" writer
ALDEN	Colonial John
ASTIR	Moving
AIWA	Sanyo competitor
SPAM	___ blocker
EATSA	___ hole in (corrodes)
TOBIAS	"This Boy's Life" author Wolff
STEEL	Nerve material?
ORATIONS	Graduation deliveries
AMA	Health org.
IPOS	Jobs for some underwriters, for short
ALLOTTHESAME	Distribute equal amounts?
AHOY	Stern cry?
HAHAHA	"Very funny!"
EMILS	Oscar winner Jannings and others
TEY	"The Daughter of Time" novelist, 1951
WARMTH	Friendliness
THRICE	Again and again?
BESAME	"___ Mucho" (1944 #1 hit)
ARLO	1968 live folk album
LOCALES	Spots
AMY	Humorist Sedaris
HOAGIE	Sub
ASKEDIN	Showed hospitality at the door
GTOS	Bygone muscle cars
HILT	Maximum extent
TOUCANS	They have substantial bills
SOFTY	Pushover
TRENT	Sen. Lott
YODEL	Mountain air
CRYSTALBALLOT	Vote involved in a 15th wedding anniversary?
CRANKED	Got started, with "up"
BANDB	Alternative to a hotel, briefly
TNT	Cable channel whose first showing was "Gone With the Wind"
CARO	Recipient of a lettera amorosa
ATARI	Missile Command maker
ALAMO	John Wayne film, with "The"
TUTUS	"Swan Lake" garb
ANACTOFGODOT	Part of a Beckett play?
KOS	Floors
AHS	Sounds from a hot bath
UNSAVED	Subject to loss on a laptop
SAYSSO	Makes an assertion
LUNACIES	Follies
INB	Tchaikovsky's Symphony No. 6 ___ minor
RNA	Genetic letters
RITUAL	Mass, for one
ACTALONE	Have no accomplices
AMIE	Gallic girlfriend
ATANEND	Done
TID	Three times a day, on an Rx
TONIO	"Pagliacci" clown
UMA	Thurman of "The Avengers"
USTERR	Guam, e.g.: Abbr.
YENTL	Title role for Streisand
MUCK	Mire
BIGOTBUSINESS	Narrow-minded affairs?
GALORE	Aplenty
UNSAY	Take back
ETAT	Ministre d'___
OSTER	Kitchen appliance brand
ROSARIES	You can count on them
NANU	When doubled, an old sitcom sign-off
NTESTS	Blasts from the past, briefly
SSN	Payroll fig.
STETSONS	Texas toppers
SARI	Delhi wrap
NEON	Bygone Dodge
ODOM	N.B.A. star Lamar ___
MCV	Early 12th-century year
LIAISE	Act as a go-between
IMBROKE	What turned-out pants pockets may signify
AORTAE	Main lines
RAINHAT	Slicker accessory
JIF	Peter Pan rival
JESSEL	Toastmaster General of old comedy
INHUME	Bury
SCHOOLMARMOT	Teacher's pet?
HEARSE	Last ride?
MOLNAR	Hungarian playwright known for "Liliom"
ONED	Like a line, briefly
AERO	Commercial prefix with jet
ENGRAVER	One making an impression
RESTS	Pauses
BYRON	Poet who wrote "She walks in beauty, like the night"
FITIN	Belong
FRERE	Partner in a French firm, maybe
SHOER	Blacksmith, often
AESIR	Race of Norse deities
SLAB	Hunk
IONE	Actress Skye
LEARNS	Picks up
ABUG	Put ___ in one's ear
SUDSIER	More like a bubble bath
ERE	Prior to, in verse
LOOTANDBEHOLD	Stop to admire one's pillaging?
TAP	Select
ARE	We may precede this
LIB	Ad ___
DAY	Box on a calendar
EMOTERS	Hams
ANKARA	World capital said to have been founded by King Midas
URANIA	Muse of astronomy
LETSSEE	"Hmmm ..."
BEEPER	Theater annoyance
GETSBY	Manages
