ATRA	Gillette razor
ASHOT	Give ___ in the arm
TEAMO	"I love you," in Spanish
REVET	Support with stone, as an embankment
ANERA	"It's the end of ___"
ALPO	Meal-in-a-can brand
ABBACY	Monastic jurisdiction
LEO	"Bus 9 to Paradise" author Buscaglia
PANAM	___ Games
ONEPM	Common lunch hr.
SCARY	Alarming
SKORTS	Women's hybrid clothing
COP	Steal, slangily
ARISE	Greet the day
RECON	A little advance work
YAKUT	Native of NE Siberia
SEEN	In view
BEAN	Noggin
KOREA	Divided Asian land
HAVEABONETOPICK	Feel like quarreling about something
ATLAST	"Finally!"
TAILS	Call after a toss
OMERTA	Gangster's code of silence
APAR	On ___ with (even with)
SOU	___'wester
TOTALCOMMITMENT	No halfway effort
ONTWO	When a football may be hiked
MUTED	No longer bright, as colors
AYN	Rand who wrote "Atlas Shrugged"
LSU	Sch. where Shaquille O'Neal played basketball
SPECS	Writer's guidelines
SAD	"___ but true"
PLY	Use diligently
EEK	"A cockroach!"
CREAM	Alfredo sauce ingredient
TIOS	Spanish uncles
IWO	"Sands of ___ Jima"
OWNUP	Confess
TACO	Mexican restaurant offering
ACE	Dead man's hand card
CAP	Gown's partner
OFT	"How ___ Has the Banshee Cried" (Thomas Moore poem)
ALERT	"Heads up!," e.g.
WWW	Letters after two slashes
DECAF	Grounds for a good night's sleep?
DASHER	One of a seasonal octet
DYKE	Dick Van ___
LOON	Addlebrain
LIEON	Use as a bed
ADEPT	Skilled
ASI	"___ see it ..."
SPRITE	"Obey your thirst" sloganeer, once
USS	Enterprise inits.
SCREWY	Off the wall
TRUMPEDUPCHARGE	Basis of a false arrest, perhaps
TIPPI	Hedren of Hitchcock's "The Birds"
RELIT	Activated again, as a burner
URALS	Range extending south from the Kara Sea
DEGAS	"At the Milliner's" painter
USONE	Auto route from Me. to Fla.
ACTED	Did one's part?
ROILS	Agitates
GUMBO	Okra stew
EPEES	They're guarded at the Olympics
IER	Suffix with hotel
ROES	Richard and Jane in court
RECOUP	Gain back
PLAYINGOVERTIME	Going past the fourth quarter, say
YOM	___ Kippur
VEX	Annoy
PILOT	Altimeter user
ANEW	Again
ELBE	Hamburg's river
ITSME	Informal reply to "Who's there?"
SEXY	Like the Beatles' Sadie
DSOS	U.K. military medals
