AGOG	All excited
ALPO	Brand for Fido
GORP	Trail mix
OBOE	Double-reed instrument
GEARUP	Get ready
UPSET	Unexpected sports outcome
UGH	"Yuck!"
POLS	Experts in vote-getting
STEM	Flower stalk
ETTA	Jazz singer James
TIESON	Attaches, as a rope
NEWT	Small salamander
NIGHTCAP	Bedtime drink
ESAI	Actor Morales
WEPT	Cried
TEES	Golf ball props
LOBE	Earring site
GOTTI	John who was once known as the Teflon Don
ISEE	"That's clear"
PROATHLETE	Houston Astro, for one
TARPS	Field protectors
GAPE	Stare
OPERA	Met production
SMASHHITS	Chart toppers
HUGS	Holds close
URL	Dot-com's address
LOCH	___ Ness monster
OUT	Ump's call
SUPPORTINGCAST	Actors not playing major parts
SHAME	"Naughty, naughty!"
UHHUH	"Yeah"
ROOST	Perch
TRUTH	It's a fact
INNIE	Navel type
ANISE	Biscotti flavoring
STEEL	Girder material
TADA	"I did it!"
SHH	"Quiet, please!"
SAAB	Swedish auto
SCORN	Disdain
SANTA	Father Christmas
AAHS	Sounds of relief
SCISSORS	Tailor's tool
HOUND	Keep after
DEWY	Wet, as morning grass
PIED	___ Piper
AMUCK	Bad way to run
KNIT	Make a sweater
STIES	Pigpens
SHOVE	Rudely push
SEA	Caribbean, e.g.
BEHINDTHEWHEEL	In the driver's seat
DRAFTS	Pre-edited versions
ENABLE	Allow
SIR	What to call an officer, maybe
YON	Hither's partner
CABSTANDS	Where to get taxis
COST	Purchase price
ASTO	Regarding
BLIP	Radar image
NOON	It follows 11
DRNO	First 007 film
STEW	One-dish meal
VALUE	Comparison shopper's quest
LEER	Suggestive look
USNA	School for a future ens.
ETAS	J.F.K. postings
OSLO	Norway's capital
FORTHEBEST	Not bad in result
HRS	Mins. and mins.
STIR	Mix (up)
TONER	Laser printer powder
LENA	Diva Horne
TOPS	Spinning toys
SNOWS	Winter falls
ERAS	Historic periods
