SPORTSBRAS	Supporters of women's athletics
SHIM	Level
PATE	Crown
OVAL	Amphitheater
RELATION	Tie
TAILORS	They'll give you fits
SHALOM	Peace in the Middle East
BENET	"The Devil and Daniel Webster" writer
RAIN	Eavesdropper?
ARC	Path across the sky
STEPONIT	Put the pedal to the metal
DISH	Gossip
DOTTLE	Plug of half-smoked tobacco
INSOUCIANT	Carefree
STANDTRIAL	Face the people
HORSESENSE	Savvy
HAVEAHEART	Don't be cruel
ONTO	Catch ___
ITALIANICE	Boardwalk buy
TSAR	Leader in the Crimean War
MELALLEN	Announcer who was the first to call DiMaggio "Joltin' Joe"
PUTONS	Hoaxes
ULNA	One out on a limb
TOOT	It's a blast
COLLUDE	Plot (with)
COLOR	Some commentary
AFFIRM	Ratify
APPARITION	Shade
FALLENIDOL	1948 Ralph Richardson film, with "The"
FRATERNIZE	Consort
CONNECTS	Hits solidly
CUBAN	Daiquirí resident
PAROS	Greek island that was a source of fine white marble in ancient times
JULIA	Meryl Streep's first film
JODIE	Sweetin who played Stephanie on "Full House"
IRE	Hotness
PLAN	Mastermind
ROBOT	Steady worker
REDGRAPE	Cabernet, say
CAIN	"Double Indemnity" writer, 1936
CASHMERE	Sweater choice
ALT	High no.?
CEDAR	Cone bearer
CENE	End of an epoch?
NANAS	Babushkas
NOTTHAT	"It can't be!"
REELEDIN	Landed
LADDER	Hierarchy
JOSTLE	Disturb
JUSTLY	Without bias
INRANGE	Hittable
RUTH	Whence the line "Whither thou goest, I will go"
RASTA	Jah worshiper
TINDER	Fast starter
LASTMILE	1959 death row movie, with "The"
LEES	Remains
ISIS	Goddess worshiped at the Temple of Philae
LIAT	"South Pacific" girl
EATS	Fills the bill?
IDID	"What ___ for Love" ("A Chorus Line" song)
ANESTHESIA	Number of people
NOS	Directory listings: Abbr.
OOZE	Fall through the cracks?
POETLARIAT	Will Rogers's humorous self-description
NLER	Giant or D'back
ESSAYTESTS	Requests to compare and contrast, maybe
