PABST	Big name in beer
PARALLAX	Difference in apparent direction, in astronomy
ADELAIDE	City NE of Kangaroo Island
BONANZAS	Windfalls
SRA	Overseas title: Abbr.
TELLS	Goes public
ARKIN	"Cooperstown" star, 1993
ATOMICSUBMARINE	1950's cold war development
RESIDENTIALAREA	Living room?
KITTENONTHEKEYS	1921 hit piano tune
IDE	Suffix with sulf-
NEON	Hardly drab
ADA	Tooth dr.'s org.
APACHE	Kind of helicopter
DITHER	State
AXHEAD	Helve attachment
ADORE	Be taken with
TEIDE	Pico de ___ (12,000-foot volcano on the Canary Islands)
PIX	Snaps
RENAL	Kidneylike
OSTEOPATH	Master manipulator
PITHY	Concise
ALA	___ vapeur (steamed)
LIMIT	Cap
ILS	Parisian pronoun
NICHE	Pigeonhole
LANDSLIDES	Earth movers
DAM	Water gate
SARI	Part of it is draped over the shoulder
THEA	"___ Team"
LIZA	"___ With a Z" (1972 Emmy-winning show)
SCENA	Extended operatic solo
HERD	Drove
ADAMS	"Gunsmoke" Doc
SSW	Hurricane hdg.
SNORTY	Like high-strung horses
TKO	Ring letters
XES	Letters in some ratings
SPUTNIK	Literally, "traveling companion"
POOP	Lowdown
MAP	Relief provider?
MEDICARE	What a portion of all wages goes for
AGONIZED	Sweated
PALAVERS	Conferences
TWOBIT	Small-time
TUDOR	House of two Henrys
OMEGA	Watch name since 1894
MIR	Successor to Salyut 7
ESAU	1997 Philip Kerr best-selling mystery
ENESCO	Violinist Georges
SEXPOT	Bombshell, so to speak
ARCADE	Game keeper?
OMAHA	Fighter of the Sioux
ASE	Peer Gynt's mother
IDOL	Teen ___
NERD	This may be hard to date
PALESTRINA	16th-century Italian composer, subject of a 1917 German opera
TRAPS	Game keepers?
EXCON	Former insider
NEHI	Classic soft drink
RAKER	Gardener, at times
CIV	Year Martial died
SPARETIRE	Middle weight?
TOD	"___ und Verklärung" (Richard Strauss opus)
AMAZE	Floor
MAE	Pearl Bailey's middle name
COD	One way to ship
HONEY	Mead base
PARER	Kitchen utensil
OTE	Suffix with Capri
IDEAS	Think pieces?
SEEDS	Starting points
