TIPS	Edges at the track
TUPAC	Rapper with the 1996 nine-time platinum album "All Eyez on Me"
IVANA	Trump's first
PENAL	Kind of colony
SATTIGHT	Didn't make a move
ACESIT	Scores 100 on a test
ASTIR	Moving
COHAN	George who was nicknamed "the man who owned Broadway"
ELENI	1985 Peter Yates-directed movie
SUM	Latin 51-Across
ITA	"Make ___ double"
TEL	Abbr. on a business card
GAIA	Mother and wife of Uranus: Var.
GUESTSTAR	"Saturday Night Live" has a new one every week
ANSA	Handle, in archaeology
ICE	Whack
ALFRESCO	Like a picnic
ICS	Suffix with electron
ISLET	Cay
CACHE	Pirate's secret
SMOLT	Young salmon
UVEA	It surrounds a lens
SOLUTE	Sugar in tea, e.g.
UNCLESAM	Pointer on a poster
EAUX	French waters
PANTS	Seat site
SOFAR	Until now
THEMALTESEFALCO	Movie about a "Sopranos"-like actress from the Mediterranean?
TAI	Mai ___
ANATOLIAN	Many a Turk
LOPE	Canter
ASA	Simile part
RUEHL	Oscar and Tony winner Mercedes
CALIFORNIASUIT	Movie adaptation of "L.A. Law"?
AMY	Actress Adams, star of 2007's "Enchanted"
SOS	Cry when going down?
UNO	One in Oaxaca
SEXTET	The original Jefferson Airplane, e.g.
SWE	Neighbor of Nor.
GAP	Rift
MON	Back-to-work time: Abbr.
SAWS	Hardware store section
AHME	Words of woe
THREEDAYSOFTHECONDO	Movie about a time-share?
TINA	Turner of records
EDNAS	Writer Buchanan and others
DRAY	Strong cart
ATMS	Screen sites
FISH	Angle
ODDMAN	One who's out
NERO	"I, Claudius" role
DOES	Impersonates
ONIT	"I'll do that right away!"
EDIT	Add or delete, say
EVA	"Deliver Us From ___" (2003 film)
DOH	"Dumb, dumb, dumb!"
DRT	2000 title role for Richard Gere
IAM	English 8-Down
ODEON	Popular movie house name
VON	Middle of many German names
ENAMI	As a friend, to François
EDUCE	Bring out
INTHE	Words before dark or black
ASRED	Comparable to a beet?
AGNES	Keats's "The Eve of St. ___"
DISHY	Gossiping
DREI	Crowd in Berlin?
AHARDDAYSNIGH	Movie about the coming of difficult times?
RIYADH	Oil capital
DON	Get into
INE	Like Bruckner's Symphony No. 7
INMOST	Nearest the heart
NIA	Actress Vardalos
IOUS	Notes from short people?
TNN	Spike TV, once
USIA	Former Voice of America org.
UPTON	"Oil!" author Sinclair
INSYNC	Together
ISIN	"... as it ___ heaven"
NAZI	"Casablanca" extra
SLOG	Toil
THEELEPHANTMA	Movie about one of Dumbo's parents?
TISH	Nickname on "The Addams Family"
LIEV	Schreiber of "The Manchurian Candidate"
EXGI	W.W. II vet, e.g.
TARA	"Gone With the Wind" setting
MRE	Soldier's food, for short
APE	Impersonate
SALA	Room in la casa
EDDIE	Meat Loaf's "Rocky Horror Picture Show" role
DAFT	Potty
DATEBOOKS	Meeting planners
SIXTY	Highest score achievable by a single dart in darts
ARP	Der Blaue Reiter artist
IZODS	Polo alternatives
STRAYCAT	Lost Persian, e.g.
AAS	Recovery grps.
EGO	I, to Claudius
FREE	Advertiser's "magic word"
FELLOVER	Toppled
NIGHTOFTHELIVINGDEA	Movie about a narco's worst dream?
OAR	Regatta trophy
ENV	P.O. delivery
LEE	Novelist Harper
IOR	Super finish?
GRIN	Expression for the Joker
DELTA	Buildup around the mouth
RATE	Bank quote
NEO	"The Matrix" role
REL	Person in a tree: Abbr.
SHMEAR	Bagel topping
SNARE	Take in
HOCUS	___-pocus
MILNE	Author who wrote "Did you ever stop to think, and forget to start again?"
ESOS	Those, in Tijuana
BEVERLYHILLSCO	Movie about a bus. on Rodeo Drive?
EER	Always, poetically
LSATS	Aspiring attys.' hurdles
YANCY	Old TV's "___ Derringer"
HIGHS	Thrills
SLATE	Ballot listing
CANTI	"Oh, pretty please?"
OFTEN	Time and again
NOISY	Causing a ruckus
EOE	Job spec.
EWOK	"Star Wars" critter
SAINTOLAF	Canonized Norwegian king
ACLOCKWORKORANG	Movie about the zoo's most punctual simian?
KMS	Tour de France units: Abbr.
KSU	The Wildcats of the Big 12 Conf.
OWN	Not lease, say
RAI	Vessel for Thor Heyerdahl
AVANT	___-jazz (music style)
RUNSAMOK	Goes wild
SWATCH	Upholsterer's sample
ETTE	Rock's end
ESE	Linguistic suffix
TSKS	They connote disapproval
UNISYS	Information technology giant
REIN	Pull (in)
