TEMPO	Musical pace
TACIT	Implied
EVOKE	Draw forth
MINED	Extracted ore
PAT	Butter serving
ONRECORD	Publicly known
DEERE	Tractor maker John
DECAMP	Leave suddenly
ENOS	Grandson of Adam
ETS	Org. that produces college entrance exams
RETIREE	Pensioner
ERASER	Blackboard accessory
ZIP	Do (up), as a fly
ZULU	Native of eastern South Africa
ISEE	"Oh, right"
PADS	Goalie protectors
AVIAN	Bird-related
ENTER	Opposite of exit
USA	___ Today (newspaper)
CONTRACOSTA	County ENE of San Francisco
ATOMS	Elementary units
LED	Was ahead
IKE	___ & Tina Turner Revue
ETAS	Greek H's
ISSUES	Debate topics
STCROIX	Largest of the Virgin Islands
TED	Hall-of-Famer Williams
COM	End of many U.R.L.'s
BRET	___ Easton Ellis, author of "American Psycho"
BTUS	A/C measures
COMPUTERCODE	What a programmer writes
CENTRUM	Vitamin brand promoted as "Complete from A to Zinc"
USAGE	Custom
ODIN	Chief Norse god
DART	Missile that might be tipped with curare
ESSO	Old U.S. gas brand
OGLERS	They get an eyeful
OPEC	Source of some of the oil for 31-Down
GOTO	Attend
LUAU	Hawaiian feast
SUE	Take to court
RDAS	Nutritionists' nos.
POUND	Hit with a hammer
MAS	"No ___!" ("Uncle!," in Spanish)
MENU	It might start with "Starters"
SOIRS	Evenings in Paris
SHORTCUT	Clever travel suggestion
ETAT	Coup d'___
REG	Lowest-priced gas grade: Abbr.
REDCOAT	British soldier in the American Revolution
SHINTO	Japanese religion
SCION	Offspring
COURTENEYCOX	Monica player on "Friends"
TRACTS	Political pamphlets
YAHOOS	Brutes in "Gulliver's Travels"
URDU	Language in Lahore
AIR	Broadcast
DAM	China's Three Gorges project
DOLLS	Ken and Barbie
AUDIT	Cheating bookkeeper's fear
MISTY	"Play ___ for Me"
BIGMAC	Alternative to a Quarter Pounder
BAJA	Lower California, for short
IVES	Burl who won an Oscar for "The Big Country"
GAWK	Get an eyeful
SHOT	Photographed
SMOG	Pollution that may sting the eyes
OUI	"Yes, madame"
AVA	Palindromic girl's name
COMMONCOLDS	Winter afflictions
MBA	Deg. from Wharton
ONE	Last number in a countdown
JEW	Observer of Yom Kippur
TABOO	Eating pork, to an observant 60-Across
UNLIT	Dark, as a room
ASK	Pose a question
STAGS	Does' companions
TESTY	Irascible
