LOCAL	Brighton pub
LOTT	Sen. Trent
OHOH	Cry of excitement
CARR	N.F.L. co-founder Joe
ARIES	Constellation near Perseus
LACEUP	Prepare to tie shoes
LAIR	Retreat
LEGATION	Envoy's assignment
AIRY	Open to breezes
INAPET	Peeved
REBATE	Payback
CRAM	Pull an all-nighter
CLASS	Teacher's charge
RACE	Word with arms or foot
AVIS	Hertz rival
MAD	Daft
OHARA	Mitchell family name
EINE	One, to Wilhelm
LAVA	Proctor & Gamble soap
TORIC	Like an inner tube, geometrically
GRAB	Catch
ACID	Kind of rock
THREEDAYPASSES	Lo-o-o-ong efforts from a QB?
DIRGE	Gloomy tune
SERVE	Do one's duty
SUIT	It must be followed
ETES	Hot times on the Riviera
SAP	It runs up trees
SATUP	Became alert
ARUBA	Island NE of Maracaibo
PERON	He was called "El Lider"
PRINTER	Computer adjunct
NODES	Bumps
PAM	Jack of clubs, in cards
PREGO	Polite Italian word
AGNEW	Discredited Veep
MODEL	Fashion figure
AREA	Geographical datum
ANA	Alicia of "Falcon Crest"
GOO	Early baby word
VIRGO	One who's practical and tidy, they say
IRA	Tax-deferred plan, for short
TURNSENDOVEREND	Switches receivers?
STOIC	Uncomplaining
OVERDONE	Burnt, or practically so
VALET	Man's man
UBOAT	Tin can's target
EVA	60's singer Little ___
AGEE	Memorable New York Met Tommie
PAN	Prospector's need
OURSELF	Pompous pronoun
UNKEPT	Broken, as promises
REARER	Parent
FEASTS	Luaus
OWL	Minerva, symbolically
FINE	Coin catalogue rating
FOLLY	Bad move
REED	Swamp thing
DCLII	CCCXXVI doubled
BLOCKANDTACKLE	Navy's anti-Army strategy?
BODY	Good wine quality
LOON	Screwball
NONE	___ of the above
KILL	Hunter's take
LEEK	Onion's kin
ERRS	Misreckons
POOL	Betting sum
PIN	Hem holder
EROO	Suffix with switch
SLIER	More foxy
IDOL	Teen Beat cover subject
PENN	Ivy League power
TILER	Floor worker
NYNY	Address with ZIP code 10001: Abbr.
TREE	Elder or alder
SILKS	Pimlico garb
