LIAR	Makeup artist?
LIPS	They may be locked or sealed
ISAK	"Out of Africa" name
ALTA	Neighbor of Mont.
RESTUP	Get some sleep
DIPLO	Paired: Prefix
DECRIED	Disparaged publicly
ILL	"___ be!"
PII	It's just past three
LENEK	Vichyssoise ingredient
OLEANNA	David Mamet play
UNTO	"Woe ___ ..."
UPSWEPBT	Not resting on the shoulders, say
NOOIL	Salad orderer's request
TONGS	Salad maker's need
ORGS	N.A.A.C.P. and others
ISLE	Archipelago component
ELIEL	One of the Saarinens
POOR	"D"
PATSYCLINE	Country legend dropping in?
YERBA	___ Buena (island in San Francisco Bay)
SONG	Track
SKATER	Rollerjam participant
EARWIGS	Pincered insects
REAL	Unaltered
URIS	"Topaz" author
SAMEO	Unaltered
KNEELS	Prepares to propose
SNAPBEAN	Onomatopoeically named legume
SLID	Dove home
NINA	Historical ship
AZOV	Russia's Sea of ___
NIGUH	Almost
NAP	Break
LIZ	Claiborne of fashion
ADMIRALBYRD	Polar explorer dropping by?
ROTOT	Origin
YRHO	Sweater letter
RIEN	Nada, across the Pyrenees
DONG	Steeple sound
INON	Hip to
NINETEEN	It barely misses a score
EGO	It may need stroking
TRIO	Small combo
DAVIDSOUTER	Supreme Court justice dropping out?
DINO	Rat Pack nickname
SNOWJOB	Con
EPONYMS	Those who lend their names
RAJAH	Oriental royal
HEN	See 62-Down
NIN	"Ladders to Fire" writer
HOPALONG	Gabby was his sidekick
LOPOEZ	Singer with the 1999 #1 hit "If You Had My Love"
STENOS	Gregg experts
SODOM	Vice venue
TWINE	Cord
SNIPE	Take potshots
TOJO	W.W. II villain
COWTOWN	Western burg, unflatteringly
COAX	Wheedle
NAPALM	Smell in "Apocalypse Now"
AFXE	Fire
LFAT	Map figure: Abbr.
MAMA	Baby's word
ODIE	Jon Arbuckle's dog
JIMMYHOFFA	Labor leader dropping off?
MIA	One of Frank's exes
MUD	With 46-Across, marsh-dwelling bird
AONE	Tops
OPIUM	Religion, to Karl Marx
EXAM	Physical
XMEN	Comic book supergroup
BEADS	Droplets
ZETA	Sixth-brightest star in a constellation
