ABBES	French clerics
AMANDA	"She's the Man" actress Bynes
BATHES	Washes
BRAZOS	Longest river in Texas
ECRU	Off-white shade
SHIHTZU	Tibetan dog
POLK	President after Tyler
PONZI	Kind of scheme
OLY	West Coast brew, for short
LIEU	Place
KOSOVAR	Dweller in Pristina
TSPS	Medicinal amts.
TWOHR	Like many TV movies: Abbr.
SHOUTOUT	Public mention
PEZ	Candy that comes in more than a dozen flavors
STY	Farm structure
MARCH	General's cry
OLIO	This and that
WHET	Stimulate
ATARI	Game maker starting in 1972
NYES	Actress Carrie and others
OOZY	Like wetlands
NHZUHOZ	*Antimicrobial bit in mouthwashes [90 degrees]
OWER	Short person?
UOZHU	*Like wizards' caps [90 degrees]
ZORN	N.F.L. coach Jim
DEO	___ volente (God willing)
TWIG	Really thin person
GATEWAY	St. Louis's arch, symbolically
VORTEX	Tornado
ENRY	"Just you wait, ___ 'iggins ..."
XENA	TV warrior princess
ASSIZE	Judgment
ITSI	Formal/informal response to "Who's there?"
AGAR	Food thickener
GUNN	Ben ___, "Treasure Island" pirate
ONE	Undivided
TURNTURNTURN	#1 hit by the Byrds ... or directions for reading the answers to this puzzle's starred clues (always clockwise as indicated)
NOIR	"The Big Sleep" film genre
TAWS	Shooters
TAIS	Mai ___ (drinks)
TSOS	General ___ chicken
ANKH	Egyptian cross
IODIZING	Treating, in a way, as table salt
OEN	Wine: Prefix
ATYA	"Comin' ___!"
SNOISSIWNOOW	*Apollo 11 and 12 [180 degrees]
SHAH	Bygone sovereign
SOZZLED	Three sheets to the wind
ORNO	Of little ___ use
OUGHTTO	Should
OKD	Given the nod
HORA	Dance at a Jewish wedding
RUSTED	Showing signs of disuse
THORPE	Five-time Olympic gold-medal swimmer
EMOTER	One overacting
DOZERS	Catnappers
SHIRAZ	Iranian city of 1.2+ million
ROCKY	Tumultuous
YANG	Masculine side
AZTEC	Old pyramid builder
HMO	Insurance plan, for short
ZOHZC	*Marriage, say [270 degrees]
CALI	District of Colombia?
ZOHZOOZ	*Specification in a burger order, maybe [270 degrees]
ZOOM	Camera feature
ERIC	Attorney General Holder
EWE	Animal often seen with a bell around its neck
RID	Clear (of)
LAST	Endure
SIS	Family girl
TORTE	Dessert cake
WINK	[I'm kidding!]
ELIE	Nobelist Wiesel
TOPER	Dipsomaniac
EDGY	Jumpy
DISC	LP or 45
OMERS	Biblical dry measures
