ASKSFOR	Requests
ABLE	Skilled
SOON	Possible answer to "When?"
KNOTBYALONGSHOT	Underdog's fastener?
SASSES	Is discourteous to
FIB	Do a little stretching?
ORY	Arm extension?
REA	Irish actor Stephen
SORTOF	Rather
SCHON	"___ gut!" ("All right!"): Ger.
OHIO	Where Athens and Dublin are
ROSEN	1953 A.L. M.V.P.
TOKYO	___ Rose
OSE	Verb ending
FER	Not agin
MARISA	"General Hospital" actress Ramirez
MARRYME	Words often said while kneeling
AGATHA	First name in mysteries
ROT	Humbug
IRINA	Skater Slutskaya
SAFER	Not so unpredictable
ASYET	Hitherto
BONAIRE	Antilles isle popular with scuba divers
CHOOSE	Take your pick
AGORAS	Ancient meeting places
LOOSBYAWHISKER	Bathrooms near some shaving detritus?
WHO	U.N. arm headquartered in Switzerland
RATIFY	Approve
ENTS	Literary tree dwellers
HOOEY	Senseless talk
ORT	Scrap
OBEISANCE	Bow or curtsy
NEE	Once called
BERGSON	1927 Literature Nobelist Henri
ROWER	Crew member
GUARD	There's one right and left of center
STAB	Shot
NOSEBYHEART	Juxtaposed body parts?
SAKE	Benefit
EXTRA	Small role to play
ENYA	"A Day Without Rain" singer
LAYSOUT	Plots
LECAR	Old Renault
ARUBA	Island WNW of 20-Across
AXEMAN	Lumberjack
ERA	Time in history
WAAH	Cry from a crib
HYPER	Jacked up
NECKTIE	Fashion accessory
NULL	Nonexistent
EMMA	"Friends" baby
CBER	"10-4" speaker
YOWL	Cry of pain
ONEBYALANDSLIDE	Mountaineer in peril?
WASI	"Where ___?"
LIST	Shopping aid
CULLERBYNUMBERS	One who selects arithmetically?
LAIRS	Hiding spots
NAVE	Church area
LANAI	Island ESE of 74-Across
LETS	"___ go!"
ABOARD	On
PALME	___ d'Or (prize at Cannes)
AARE	Swiss river
ROE	Salmon ___
ESS	Series opener or finale?
RANI	Indian royalty
KEVLAR	Synthetic fiber used in bulletproof vests
KEPTWOMEN	Side dishes?
NOTABIT	All's opposite
ABOIL	Full of excitement
GRUYERE	Swiss relative
UTNE	___ Reader (magazine)
YOU	Word said while pointing
RACESBY	Quickly elapses
RUDY	Former name in Gracie Mansion
ABETS	Plans a getaway for, maybe
BUSSTOP	Point on a line
BIGD	Cowboys' home, familiarly
UCLA	1995 N.C.A.A. hoops champs
JUJUBE	Colorful candy that sticks to the teeth
JENI	Comic Richard ___
ULEE	1997 Fonda role
JIBS	Sails
OAHU	See 54-Across
HOSEA	Hebrew prophet
UNSAY	Take back, in a way
ICH	"___ Dien" (Prince of Wales motto)
NUTS	"Darn it!"
SHOOS	Drives away
ELIDE	Slur over
RAILON	Criticize harshly
RESET	Kind of button
AGHAS	Honorary titles
GLOBE	Sphere
BEEB	Overseas broadcaster, with "the"
WHINEBYTHEGLASS	Complain in front of a mirror?
INRI	Religious inscription
HALE	Healthy
DATE	See
BOONIES	Sticks
BADEGGS	Nogoodniks
SASH	It might say "New Jersey" in Atlantic City
NEA	Org. for teachers
ENAMOR	Charm
NYYANK	Bronx player, in brief
LEAPDAY	Bissextile occurrence
PEERIN	Look through a keyhole
DEWBYDESIGN	Moisture around an architect's sketch?
DUMAS	"The Count of Monte Cristo" author
ENACT	Opposite of kill
WAYTO	"___ go!"
GEENA	Actress Davis
NINON	Curtain fabric
TSETSES	Dangerous flies
TIBET	Source of the Mekong River
SOY	Oil source
UNA	___ corda (musical direction)
YEN	Itch
EIEIO	Refrain from farming?
ETTE	Usher follower?
ELBE	River to the North Sea
BEER	It may have a big head
EROS	Desire
MAYTAG	Whirlpool alternative
TIC	An X could represent it
SCENTBYCOURIER	Messenger's odorous emission?
SOP	Bread, at times
CFL	Sports org. with the Grey Cup
COW	Daunt
ONE	Top position
UVA	Charlottesville sch.
ACTING	Temporary
OFNOTE	Distinguished
ONVIDEO	Available, but not at theaters
STOCKS	Portfolio component
PLANET	Mercury, for one
WEANERS	Stockbreeding devices
