WIMPS	Chickens
WISP	Bit of a cloud
IDOL	"American ___"
MIRO	Catalan painter Joan
PORPOISE	Victim of a drift net
STY	Farm pen
ATOM	Subject for Fermi
ALAIN	French actor Delon
TEXTS	Libretti
ODER	River of Brandenburg
MADEIRA	Dessert wine
JOSS	Chinese image in a shrine
JIGGLE	Shake a bit
OCALA	Seat of Marion County, Fla.
SEVEN	Evening hour
STEED	Mount
IDIOT	Kind of box
LEDA	Mother of Castor and Pollux
ICET	Dr. Dre contemporary
SORRYIAXED	Words from young George Washington?
ILENE	Graff of "Mr. Belvedere"
GAVE	Collapsed
PLOP	Sit (down)
LITRE	Petrol purchase
GLEE	Exultation
OPENS	Some tournaments
POKEMON	Japanese game figures
ISLAND	Prince Edward, e.g.
SIXLANE	Wide, in a way
ACTION	Director's cry
AWAG	Like gossiping tongues
CHIA	Herbal "pet"
TIMS	Allen and Conway
ERIE	Penn State branch site
ELHI	For grades K through 12
WHISKEYFLAX	What might have a person spinning?
YALE	Lock maker
FAT	Unnecessary part
BBC	"Doctor Who" airer
BRIO	Esprit
BONN	Beethoven's birthplace
CIGS	Weeds
AIMEE	Pop singer Mann
AAH	Sound heard during a massage
LEROI	"Vive ___!"
EXITPOLL	Voters' survey
GAS	Nitrous oxide, e.g.
MULTITAXING	Like a stressful job?
UNTAMED	Wild
TONOF	Like a ___ bricks
DONE	Through
DIESEL	Engine type
ONIONS	Latke ingredients
QUAINT	Charmingly odd
QUASH	Suppress
URSAE	Star bears
AGILE	Catlike
TENET	Precept
TOXIN	Snake venom, e.g.
EVOKE	Summon mentally
URGE	Press
ABOVO	From the beginning: Lat.
BARA	Theda of silents
PADS	In-line skating gear
ARIA	Andrea Bocelli piece
DRAY	Sideless wagon
SOSA	1998 N.L. M.V.P.
ASIS	"Not returnable"
MAXOFZORRO	Outlaw's limit?
ZAP	Stun
SALE	Possible result of bankruptcy
ERIK	The Phantom of the Opera
ALIAS	Something to go under
HEEL	Obedience school command
DANE	Writer Isak Dinesen, e.g.
PLAYA	Costa del Sol feature
