BLTS	Toasted sandwiches, for short
BEEFS	Strengthens, with "up"
LIMIT	See 56-Down
TRITE	Said too often
SETTLES	Pays, as a bill
LAMAR	Politician Alexander
LAMBASTE	Chew out
ABEE	Have ___ in one's bonnet
MOAT	Castle defense
ADLIB	Wing it, speechwise
RESEEN	Visited again
RIOT	Very funny one
RAW	Inexperienced
INALATHER	Agitated
ONLY	"Members ___"
TAKE	Give's partner
EIRE	Dublin's land
ABODE	Habitation
ANNA	The "I" in "The King and I"
EMIT	Send out
MEALS	Suppers
WALK	Hoof it
FITTOBETIED	Agitated
OLD	Long in the tooth
DRANK	Guzzled
LYE	Caustic substance
STELLA	Mrs. Kowalski, in "A Streetcar Named Desire"
BERRA	Hall-of-Famer Yogi
RTE	I-95, e.g.: Abbr.
EDSEL	1950's car with a horse-collar grille
EONS	Seemingly forever
LAPIN	Rabbit fur
NATTER	Yak, yak, yak
ERLE	Writer ___ Stanley Gardner
RUST	Reddish-brown
OAFS	Buffoons
ONER	Lulu
AIDE	Candy striper, e.g.
FLUSTERED	Agitated
TOAD	"The Wind in the Willows" character
DELI	Takeout lunch provider
NEHRU	World leader who gave his name to a jacket
NIL	Zilch
HENPECK	Browbeat
HENNA	Redhead's secret, maybe
CONCRETE	Basement floor material
ELS	Trains to the Loop
EDUCE	Bring out
CEO	Corp. numero uno
SILO	Fodder holder
FRET	Lose sleep (over)
FREEMAN	One released from bondage
RESENT	Harbor a grudge about
TELLER	Bank employee
NINER	Frisco gridder
ELK	Antlered animal
TONES	Softens, with "down"
SLAVE	Work like a dog
CLEATS	Golf shoe features
ADAGE	"If it ain't broke, don't fix it," e.g.
TUNER	Radio part
SPEED	With 2-Down, 65 miles per hour, say
SHE	Word repeated in "Does ___ or doesn't ___?"
SLOB	Hardly a neatnik
HOBO	Tramp
ALLWORKEDUP	Agitated
WREN	Songbird
OGRE	Fearsome one
LORD	Prayer receiver, with "the"
DYE	Hair coloring
LARGE	Sweater size
MANE	Neck hair
OBEY	Comply
EVERT	Turn outward
AGEE	Tommie of the 60's-70's Mets
BODE	Portend
RENEE	"Walk Away ___" (1966 hit)
NERD	Brainy, socially inept sort
