NOTTODAY	Procrastinator's reply
NOS	They're not positive
OVO	Egg head?
TEMPAGENCY	Placement aid
TREE	Pistachio or almond
OCTA	Prefix with -valent
DAHL	Gary who invented the Pet Rock
AMI	1960s-'70s Citroën
YENTA	Grapevine cultivator?
FIANCE	Engagement party?
FISKE	Big name in college guides
INFEST	Take over
ADIT	Colliery access
NOSE	A hook might give it a hook
COHN	Columbia Pictures co-founder
ERY	Green attachment?
OVERCAME	Beat
INDOOR	Enclosed
SOMETHINGSFISHY	Rat smeller's words
GAD	Knock (about)
PEAL	Roll
TAKETEN	Break
ASA	___ bonus
ARID	Anhydrous
SECOND	It goes by quickly
WADES	Doesn't go swimmingly?
WRATH	Face reddener
REGULAR	Alternative to premium
UPTON	Baltimore neighborhood that includes Marble Hill
LAD	Bar mitzvah, e.g.
ALOW	On a deck beneath
TATA	Heathrow takeoff sound?
ARGON	Composition of some plasmas
TEARGASGUN	Folks may cry after it's shot
ANISES	Members of the carrot family
ICEPALACES	Winter sports arenas
CHI	Loop setting, briefly
EATIT	1984 hit with the lyric "Have a banana, have a whole bunch"
STEN	9-mm. weapon
REN	Neurotic toon
DONTDOTHATAGAIN	Warning to a pest
AHA	Brainstorm outburst
NERI	St. Philip of Rome
NCO	Elvis Presley was one: Abbr.
WHITEHORSE	Trading center during the Klondike gold rush
DYNE	Unit in an erg's definition
ECHOES	Hollow replies
INANGER	Way to look back?
CHEST	Jewel holder
HAULS	Does semi-related work?
ELK	Pennsylvania's ___ Mountain (skiing area)
STILL	Allay
ASI	"___ said ..."
ASPHALT	Court cover-up?
ARAB	Many a dinar spender
SERB	Dinar spender
PYRE	Phoenix construction
ERAS	They're often associated with world leaders
EDGY	Envelope-pushing
RIAS	Cousins of fjords
ANTI	What may start climactically?
AREYOUKIDDINGME	"Seriously?"
ABA	Grp. concerned with precedents
DIA	Semana segment
MRT	Chain-sporting star
EEO	Job ad abbr.
BARREL	Crude container
LIGATURE	Artery binder
ABBESS	"Climb Ev'ry Mountain" singer in "The Sound of Music"
LAYSINTO	Rails at
