LASSO	Catch on a ranch
LYCRA	Stretchy synthetic
AAHED	Sounded content
SLABS	Hearty slices
STRAP	Feedbag part
OAT	Feedbag morsel
DADS	Root beer brand
DUPE	Pull a fast one on
ASPS	Egyptian slitherers
DIE	Casino cube
SCRIPT	Actor's reading
HOT	In
HOPSCOTCH	Playground game
OLIO	Mixed bag
TANK	Fail miserably
YALTA	W.W. II conference site
MUSIC	Counterpart of lyrics
MODEL	Strut on the runway
OLA	Ending with pay or plug
CHARTTOPPER	#1 hit
TACET	"Be silent," in scores
PIN	Brooch
REBA	Country's McEntire
ADES	Summer coolers
ITSOK	Comforting words
TITHES	Worshipers' payments
ADSPACE	Magazine and newspaper revenue source
ABES	Lincoln and Vigoda
EPIC	Larger-than-life
EON	Seeming eternity
BELLBOTTOMS	Some 1960s-'70s attire
LEARY	'60s guru Timothy
BRR	Shiverer's sound
MMCI	Start of the 22nd century
SLAT	Strip under the mattress
SACHET	Potpourri holder
SOAK	Enjoy a tub
ABLE	Up to the task
CODENAMES	Manhattan Project and Operation Overlord
HEAPED	Piled up
ERN	Directional suffix
HTML	www page creation tool
OBOES	English horn relatives
BAR	It can precede the starts of 16-, 26-, 43- and 58-Across and 10- and 33-Down
BEE	Competition of sorts
MECCA	Muslim pilgrim's goal
MIND	Give a darn
ALDA	Alan of "Betsy's Wedding"
SER	Sunday offering: Abbr.
SNL	NBC hit starting in '75
MISHIT	Faulty shot, as in tennis
MOUTH	Yap, so to speak
KEEPANEYEON	Watch
ALONZO	Mourning of the N.B.A.
EMITS	Sends out
NELL	Carter of "Gimme a Break!"
MUDBATH	Spa treatment
BALER	Farm bundler
ALERO	Bygone Olds
TVSET	Cable box holder
HASTE	Cause of sloppiness, maybe
PRADO	Madrid museum
PRIX	___ fixe
RICE	Paella need
IMIT	Not orig.
INON	Home ___
MEMO	Staff note
ALVA	Middle name at Menlo Park
RIM	___ shot (joke follow-up)
NONETHELESS	However
OOH	"La-la" preceder
EBW	"Charlotte's Web" author's monogram
ICE	Rocks in a glass
ZOOMS	Skyrockets
BERET	Prince's "Raspberry ___"
XES	Deletes, with "out"
OHNO	"That wasn't good!"
WROTE	Dropped a line
