AILEY	"Blues Suite" choreographer
ACHE	Harbinger of tooth trouble
IRONSIDE	One with exceptional endurance
LEMONTEA	Drink with a tinge of tartness
ETE	It starts in juin
YEGG	Itinerant burglar, slangily
TOV	"Mazel ___!"
TOMEI	Actress Marisa
OLEAN	Fake fat brand
VASTARRAY	Huge collection
BAWLS	Cries
BAS	Some degs.
AWASH	Flooded
WANTAD	Classified
LIKESO	In this way
STAMEN	Pollen bearer
CRETE	Minoan domain
OLA	Pay back?
AWAIT	Look for
HOMEGAMES	About half of a team's schedule
ARFS	Canine clamor
SANKA	Choice in decaf
ENO	Roxy Music co-founder
GREATS	Legends
SLIER	More devious
STEM	It may be thorny
SNO	Commercial prefix for winter products
OUTTA	"___ sight!"
FINALPHASE	Developmental windup
PATOOT	Heinie
SITUPS	Stomach-sculpting set
SOB	Cry
POTPIE	Baked entree
RIA	Estuary
DON	Get into, in a way
ODETO	Start of several Keats titles
GARETH	Nephew of King Arthur
GETSAGRIP	Stops acting irrationally
ATH	Part of N.C.A.A.: Abbr.
HUMOR	Twain forte
BEATTHETAROUTOF	Wallop
HADTO	Wasn't given a choice
TAKEPART	Share (in)
ONEBALLS	Poolroom items
FIR	Noel staple
APATHY	What a shrug may indicate
OMANI	Like some rials
EKG	Heart chart: Abbr.
EPPING	___ Forest (park near London)
KRONER	Danish coins
GIRDLE	Figure enhancer
IDS	Some bracelets, briefly
STOKER	Dracula's creator
SERI	Golf's 1998 U.S. Women's Open winner ___ Pak
PRIZETABLE	Where winners pick up their awards
ZTILE	Scrabble 10-pointer
BLADE	Food processor feature
LEDON	Enticed
REB	Antietam soldier
PORT	Left at sea
OGLERS	Unwelcome people at nudist colonies
SODA	Float alternative
PAO	Kung ___ chicken
OKAY	Less than spectacular
INDIA	Pekoe production place
ASK	Set a price of
RADIOTALK	Stern's area
TAN	Whip
NELLS	Actress Carter and others
IDO	Words of commitment
DARLA	Friend of Alfalfa
GREEK	Kind of letters hidden in 17-, 26-, 36-, 48- and 60-Across
PEN	Paper mate
ANTSY	Not sitting well?
