DECAL	Windshield sticker
DECLARE	"I do ___!"
ELEANOR	1930's first lady
CULT	Kind of film
ADOBE	Pueblo brick
LETUP	Abate
RELO	Employee's move, for short
RASH	Too hasty
ETH	Addis Ababa's land: Abbr.
LOO	John, to Ringo
OMEGA	Certain sorority girl
AWS	Cries heard around cute babies
ADRENAL	Kind of gland
WIENERS	Ballpark purchases
SMEARED	Slung mud at
DELUDE	Dupe
DOFFED	Tipped, as a hat
ATOM	Quark's place
DIM	Headlight setting
OCELOT	Spotted wildcat
SHOETREE	Loafers don't grow on this
TEND	Watch
FLATBUSH	Musical markings don't grow on this
SAP	Chucklehead
GEENA	Oscar winner Davis
FAN	Ceiling spinner
EPA	Mileage rating org.
SCANNER	Supermarket checkout item
STEW	Meat-and-vegetables fare
CHEEP	Canary's call
EROS	Cupid, to the Greeks
SAC	Midwest Indian
PATH	Hiker's route
ASKED	Appealed
DARE	"Try me" preceder
DERATS	Clears of vermin
THE	Everyday article
SIRED	Fathered
SEEP	Slip through the cracks
PER	According to
LSD	It might make you see things
CHICKWEED	Baby fowl don't grow on this
CINE	Motion picture
DET	N.Y.P.D. investigator
DID	Accomplished
DICKENS	Devil
IFORGET	"Hmmm, it's not coming to me"
DAMAGES	Compensation in a lawsuit
ERIE	Pennsylvania port
PRESET	Like a wake-up time on an alarm clock
SHEATHE	Protect in a cover
EROSION	Shoreline problem
TOSSED	Deep-sixed
IFAT	"___ first you don't..."
TRIP	Dancer's woe
ENDS	Pulls the plug on
STE	Sault ___ Marie
THRO	"Comin' ___ the Rye"
COMRADE	Obsolescent term of address
ATLAS	Shoreline shower
TAO	Confucian truth
ALFRE	Actress Woodard
OGLES	Gawks at
EOS	Dawn goddess
KRAIT	Deadly snake
EELGRASS	Morays don't grow on this
ETAS	Hellenic H's
RUSS	"tom thumb" star Tamblyn
EGGPLANT	Henhouse products don't grow on this
ARE	Live and breathe
NEW	Just out
FLUTIE	QB Doug
NEE	Maiden name preceder
AREA	Plane measure
RESHOD	Like horses at blacksmiths
STS	Ave. crossers
SEWS	Bastes
ESSEN	Krupp Works city
