MEG	Former eBay chief Whitman
MACAWS	Talkative ones
EPOQUE	La Belle ___
GROUSE	Bellyache
CARJACK	Steal from, as in Grand Theft Auto
COIF	Bangs, e.g.
ACNED	Pimply
REGRAB	Get a better grip on
JAW	Big part of a crocodile
ANI	Singer DiFranco
CITE	Refer to
KAHN	Gus who wrote the words to "Makin' Whoopee"
SMUG	Too big for one's britches, say
SPARTA	What the 300 defended
MUSEUM	Field trip destination
UMP	Person at home
GPS	Modern navig. tool
SLAT	Shutter piece
SEEDPOD	Bean container
LANDAU	Coachman's carriage
ACTING	Provisional
THRESH	Separate wheat from chaff
APR	Auto financing abbr.
OCEANIA	Home of Easter Island
PUMP	Bilge need
EACH	"___ Dawn I Die" (James Cagney flick)
COOKINGWITHGASPS	Rachael Ray activity eliciting oohs and aahs?
KISMET	It's written in the stars
GUAR	Gum-producing plant
ENTR	___'acte
AQUIFER	Freshwater source
ENURE	Habituate
EDDIE	Vedder of Pearl Jam
ESTEE	First name in cosmetics
WUSS	Pantywaist
DAFT	Harebrained
FUTON	Informal bed
TIERS	Seating sections
ATUB	"Three men in ___"
BPLUS	Nearly excellent
SPANS	Viaduct features
SEEMS	Appears
SCHTICK	"I don't get no respect," to Rodney Dangerfield
BUILTRAMPSTOUGH	Prepared for heavy on/off traffic?
LACY	Full of frills
TRE	Number of flavors in Neapolitan ice cream?
SIKHS	Some turban wearers
ECG	Heart chart: Abbr.
GEES	Thousands, in slang
TEAR	Spacesuit worry
LIED	Schubert piece
USETHEFORCEPSLUKE	Advice to actor Perry when delivering a baby?
USHERED	Brought (in)
SEINERS	Fishermen with nets
ESTIVAL	Summery
FETA	Greek salad ingredient
PACO	Designer Rabanne
SPAR	Tangle (with)
LIAM	Irish folk musician O'Flynn
PPP	Extremely softly, in music
PARTIAL	Missing something
PRETZEL	Ballpark snack
PASSERS	QBs, at times
SES	French possessive
TEENSY	Wee
APISH	Imitative
LARA	___ Croft, title role for Angelina Jolie
LOIN	Choice cut
HITLIST	It's dangerous to be on this
LAOS	China neighbor
NCAA	Org. involved with ESPN
NFL	CBS's "The ___ Today"
SPORES	Puffball contents
PROSPER	Fare well
ENIAC	Pioneering 1940s computer
ASPSFORME	Cleopatra's last request?
SCAN	Eyeball
PONG	Beer ___
SWAT	Hit hard
ELAH	"In the Valley of ___" (2007 film)
RITTS	Fashion photographer Herb
REVOKE	Void
EBOLI	Where Christ stopped in a Carlo Levi novel
COWL	Brother's attire
LIONIZE	Adulate
ILER	Robert of "The Sopranos"
ERAS	Bullpen stats
BWANA	Sir, in Swahili
WILMA	Mother in Bedrock
SISALS	Rope fibers
SPEE	Ill-fated German admiral
ISLES	The Hebrides, e.g.
STEPS	Flight divisions
AER	___ Lingus
DSL	High-speed inits.
GOINGTOPSTHEPOLLS	Travel is voted most popular?
GATED	Like some communities
OPS	Missions, in brief
OLIVIA	"Twelfth Night" woman
HALL	Concert site
HGWELLS	The Father of Science Fiction
PELE	Athlete who won the 1978 International Peace Award
REL	Brother or aunt: Abbr.
LONGTIMENOSEEPS	Result of a good basement waterproofing years ago?
LISBON	Capital on the Atlantic
ONTAPE	Canned
NAILED	Caught red-handed
EXALTS	Sings hallelujah to
NELLIE	Nervous one?
ODIE	Comics pooch
STROVE	Endeavored
RIGHT	"Yeah, ___"
GEORGE	Any of boxer Foreman's five sons
HELPER	Volunteer, perhaps
TRISTE	Melancholy
INAWE	Transfixed
AXED	Canned
SSTS	Bygone "birds"
SAFER	Less wobbly, say
VEER	Swerve
STIED	Like a pig in a pen
ALIAS	False front
ATTS	Brief makers: Abbr.
SPIN	Turn in many a children's board game
RAVIOLI	Literally, "little turnips"
VCRS	TV hookups
BALL	Cinderella's destination
BULLETPROOFCARPS	Unassailable beefs?
BAR	Kind of graph
UNO	Card game from Mattel
RPI	Sch. in Troy, N.Y.
OOP	Alley ___
OPEL	Volkswagen competitor
ANTI	Prefix with inflammatory
TIPOVER	Upset
GET	Fathom
NEDS	Composer Rorem and others
ROSE	Word before or after tea
SNIPERS	Ones concealing their aims
ERE	Poetic preposition
