TACOS	Snacks in shells
TARTS	Bite-size pies
ALOHA	Hello from Ho
CEDED	Handed over
OPEC	Crude cartel
SHOOED	Chased away
DORM	Panty raid site
DAMON	Runyon or Wayans
ODOR	Bad whiff
REAP	Bring in
MENU	28-Down handout
UMPS	Quartet on a baseball field
UTOPIA	Ideal spot
MILLICENT	Pipe-smoking former Congresswoman Fenwick
PLIE	Ballet bend
SEN	D.C. V.I.P.
ALEPH	First Hebrew letter
ADEE	"Zip-___-Doo-Dah"
TILE	Mosaic piece
RODEO	Bulldogger's event
MOAN	"Oh, my aching head!," e.g.
OLIN	Big chemical company
THECOLORPURPLE	Movie with a hard-to-rhyme name
LOS	___ Altos, Calif.
RIPER	Not so green
SAD	In a funk
EON	Ages and ages
III	Midafternoon, on a sundial
ODS	Some E.R. cases
OYL	Olive of "Thimble Theatre"
ICEPACKS	Black-eye soothers
IRONS	Shackles
CAFE	See 9-Down
ESO	Anka's "___ Beso"
KEGS	Toga party needs
SEEA	"Did you ever ___ lassie...?"
SLAY	Bump off
SWIM	Triathlon leg
LISI	Actress Virna ___
ALMSHOUSE	Home to the down-and-out
ERASE	Demagnetize, as a tape
EMIL	Pianist Gilels
EEE	Shoebox letters
WILLIAMOFORANGE	King with a hard-to-rhyme name
ICING	Cupcake topper
ALA	Part of a recipe title
AIR	Televise
ISM	Suffix with hero
CLINE	"Crazy" singer Patsy
ITSA	"___ Wonderful Life"
MISDIALS	Reaches the wrong party
DENTED	In need of body work
WAR	Kind of dance or bride
WAS	Used to be
ANIMAL	Kind of magnetism
HEN	Old biddy
CAN	1/24 case
CNOTE	100 smackers
ACT	Take steps
AVILA	St. Teresa's birthplace
CERES	First known asteroid
TRENT	Lott of Mississippi
LONGJOHNSILVER	Pirate with a hard-to-rhyme name
LOPE	Run easily
JOCK	Bookworm's counterpart
ORAN	Algerian port
HERE	Roll call call
LORE	Tribal tales
LOUT	Boor
LAW	Corpus juris
OREO	It may get a licking after dinner
MOIRE	Wavelike design
APSE	Nave neighbor
CART	Links carrier
ARLEN	"Stormy Weather" composer
WEED	Herbicide target
KNEE	Proposer's prop
LEAST	Most trifling
