COSET	Mathematical grouping
CAPELLA	Auriga's brightest star
OPENEARS	Full attention
SENSORIA	Stimuli-perceiving brain parts
EXPUNGER	One who strikes out
TEARIEST	Least joyful
LIESTO	Is dishonest with
LASTPOST	Taps, in the British military
INSITU	Unmoved
ESPRIT	Wit
STEELE	Knighted essayist
TOLLER	Quasimodo, notably
ONLY	But
APEXES	Climbers' goals
SLEDS	Winter Olympics equipment
EVANSTON	Illinois home of Rotary International
EMERGE	Surface
VINERIES	Locales for trellises
PENPAL	Friend you may never have met
MISSPELL	Write seperately, say
ENSURE	Cinch
ENTIRELY	Altogether
LEONID	Russian writer Andreyev famous for his horrific tales
REPTILE	Creepy crawler?
LARGES	Some pizzas
GROUTER	Mason, at times
ARIES	It's a sign
LEIS	Chaplet relatives
LENIENCE	Sentencing judge's prerogative
SARTRE	"Le Mur" writer
RADIANTS	Points from which light emanates
ETCHER	Goya, for one
CYCLECAR	Light hybrid vehicle of the 1910's
HARDWARE	Trophies in a tournament, informally
EXAMINEE	Patient at a doctor's office
REPASSED	Lapped again
ANDS	Connectors
DARTER	Freshwater fish of the perch family
YAXES	Some vertical lines
SENHORS	Men of Manáos
ARCADIA	Peaceful place
ATOMIC	Minute
RELINE	Fix, as an old swimming pool
CRONIN	Baseball Hall-of-Famer Joe
ARREST	Undesirable part of a record
SCRAPE	Row
SONIC	Kind of barrier
TERRIER	Bull ___
OLDMAN	Appellation for winter
COLORANT	Shade provider
CESS	Tax, in Tottenham
NEWISH	Somewhat green
EMINENCE	Note
ICANSO	Rejoinder to a doubter
SINISTER	Dark
CAREER	It can be carved out
SCENTS	Things found by hounds
REEDS	Orchestra section
