HOMEFREE	Out of the woods
HOGWARTS	Fictional school whose motto is "Draco dormiens nunquam titillandus"
ONEHEART	Bridge opening
MATERIALWITNESS	Important person on the stand
ESSAIS	Seigneur de Montaigne's output
FLATFEE	Payment that won't change
RAW	Inexperienced
ENA	Old queen of Spain
ETYPE	Sporty Jaguar model
DAYSPA	Peel provider
DIRNDL	Full skirt with a tight waistband
AMISTAD	1839 revolt site
YOB	Ruffian, to a Brit
SNOWMOBILETRAIL	Winter track
PISHED	Directed a cry of contempt at
ATEASE	Not tense
ONASLANT	Pitched
IMONIT	"Immediately, boss!"
GETSAWAY	Bolts
RIBOSE	Adenosine component
WHEAT	It may be found in an elevator
PINS	They're taken out in alleys
INAIDOF	Helping
WHA	"___ hoppen?!"
AERIFY	Vaporize
YUNG	Foo ___ (Chinese dish)
ENDTIMES	Apocalyptic topic
IMUS	MSNBC talk host
RAISEUP	Boost
PARBOIL	Make uncomfortably hot
ALAMODE	Trendy
TRA	Musical syllable
ENAMI	As a friend, to François
MAL	Yvette's evil
DUB	Oaf, slangily
STLO	Capital of Manche, France
OSTE	Bone head?
GRADS	Some cap tossers
SCOP	Old English poet
SIGH	Nostalgic person's response
GOPOSTAL	Totally lose it
HISNHERS	Matching pair, informally
WSW	Saskatoon-to-Calgary dir.
WARTORN	Opposite of peaceful
BLOCK	Jam
KRAMERS	Family in a 1979 Oscar-winning film
LOI	Matter of debate in a sénat
AGITATO	Opposite of dolce
ALGORE	First-ever speaker on C-Span, 3/19/79
GEODES	Some fancy paperweights
TRENTE	___ et quarante (card game)
FORCEPS	Delivery aid
CRADLE	___ of civilization
LETERRIP	"Go for it!"
PEALS	Tolls
PARTON	Performer after whom a clone was named
GON	Shape ender
TELE	MTV segment?
MARSH	Crane's place
ODEDON	Had too much of, briefly
DOE	It might go for a buck
ANTEDATE	Go back further than
NIE	Never abroad
TAX	Take a toll on
RESORT	Turn (to)
LIARLIAR	Start of a rhyming taunt
ESSENE	Strict Sabbath observer of yore
SEXSELLS	Marketing mantra
